player_a,player_b,team_2324,team_2425,min_2324,min_2425,chem_2324,chem_2425
Devin Booker,Royce O'Neale,PHX,PHX,418.8,1218.8,3.42,-4.6
Pascal Siakam,Andrew Nembhard,IND,IND,962.4,1327.6,2.94,10.98
Jarrett Allen,Isaac Okoro,CLE,CLE,1254.2,629.3,-1.1,6.98
Kyrie Irving,Dereck Lively II,DAL,DAL,611.5,433.3,-0.38,7.7
Jrue Holiday,Luke Kornet,BOS,BOS,390.8,418.6,4.08,12.17
Bogdan Bogdanović,De'Andre Hunter,ATL,ATL,904.0,361.4,6.29,-1.81
Jordan Clarkson,Walker Kessler,UTA,UTA,731.5,415.6,-3.16,-11.27
Jamal Murray,Peyton Watson,DEN,DEN,610.1,910.1,-3.63,4.48
Al Horford,Jrue Holiday,BOS,BOS,1009.5,856.7,2.81,10.93
Brook Lopez,Damian Lillard,MIL,MIL,1949.8,1689.8,5.52,-2.61
Caris LeVert,Donovan Mitchell,CLE,CLE,791.1,436.5,3.65,11.92
Myles Turner,Bennedict Mathurin,IND,IND,683.5,1255.3,-2.42,5.86
Derrick White,Luke Kornet,BOS,BOS,410.9,717.3,1.09,9.46
Jaren Jackson Jr.,Santi Aldama,MEM,MEM,901.7,629.6,-8.5,-0.09
Jalen Brunson,Jericho Sims,NYK,NYK,319.9,304.4,-1.45,6.98
Domantas Sabonis,Malik Monk,SAC,SAC,1137.8,1510.8,-9.34,-0.81
Myles Turner,Obi Toppin,IND,IND,722.7,533.8,4.44,-4.26
Draymond Green,Moses Moody,GSW,GSW,332.3,893.1,1.6,10.34
Bam Adebayo,Jaime Jaquez Jr.,MIA,MIA,1120.0,740.9,-0.46,-9.26
Al Horford,Jaylen Brown,BOS,BOS,1060.8,912.2,4.03,12.85
Josh Hart,Precious Achiuwa,NYK,NYK,908.3,626.2,2.4,-6.42
Terry Rozier,Duncan Robinson,MIA,MIA,457.4,550.2,-3.79,5.05
Deandre Ayton,Scoot Henderson,POR,POR,722.0,554.3,-4.94,3.94
Derrick White,Payton Pritchard,BOS,BOS,559.3,1108.5,11.33,2.4
Jarrett Allen,Evan Mobley,CLE,CLE,767.6,1034.4,-5.59,3.36
Chet Holmgren,Jalen Williams,OKC,OKC,1762.2,571.5,2.53,11.49
Aaron Holiday,Alperen Şengün,HOU,HOU,405.2,320.7,0.86,9.87
Dennis Schröder,Cameron Johnson,BKN,BKN,312.5,498.7,-8.58,0.45
Kevin Durant,Bradley Beal,PHX,PHX,1314.1,1040.2,-0.49,-9.53
Donovan Mitchell,Evan Mobley,CLE,CLE,789.7,1718.2,-5.6,3.46
Trey Lyles,De'Aaron Fox,SAC,SAC,758.2,507.2,7.64,-1.45
Bradley Beal,Grayson Allen,PHX,PHX,1100.3,696.1,5.8,-3.36
Trey Lyles,Domantas Sabonis,SAC,SAC,561.6,504.3,4.51,-4.69
James Harden,Kawhi Leonard,LAC,LAC,1617.3,881.8,-2.36,6.86
Kristaps Porziņģis,Derrick White,BOS,BOS,1283.3,942.3,6.32,-2.9
Bradley Beal,Devin Booker,PHX,PHX,1111.3,1139.1,2.47,-6.76
Clint Capela,Jalen Johnson,ATL,ATL,932.6,639.4,-7.37,1.9
Jonathan Kuminga,Brandin Podziemski,GSW,GSW,1063.0,533.8,8.18,-1.18
Isaiah Joe,Jalen Williams,OKC,OKC,422.5,436.0,13.5,22.88
Jakob Poeltl,Immanuel Quickley,TOR,TOR,431.5,433.1,5.37,-4.2
Jaylen Brown,Luke Kornet,BOS,BOS,330.1,600.7,-2.06,7.57
Georges Niang,Sam Merrill,CLE,CLE,686.5,504.1,4.22,13.88
Josh Hart,Jalen Brunson,NYK,NYK,1762.6,1858.9,5.37,-4.34
Jaxson Hayes,Austin Reaves,LAL,LAL,424.4,721.5,-8.0,1.73
Kevin Durant,Royce O'Neale,PHX,PHX,533.3,981.4,7.79,-2.03
Anthony Davis,Max Christie,LAL,LAL,473.2,801.3,8.03,-1.86
Coby White,Patrick Williams,CHI,CHI,908.9,999.4,5.96,-4.19
Stephen Curry,Gary Payton II,GSW,GSW,394.6,657.3,7.04,-3.25
DeMar DeRozan,Zach LaVine,CHI,SAC,579.3,879.1,-12.59,-2.28
Bam Adebayo,Nikola Jović,MIA,MIA,662.1,687.7,6.43,-3.98
Jordan Clarkson,John Collins,UTA,UTA,976.5,398.2,-2.27,-12.76
Jaren Jackson Jr.,Desmond Bane,MEM,MEM,964.7,1283.9,-10.66,-0.12
John Collins,Collin Sexton,UTA,UTA,1116.9,625.5,-4.27,6.35
Mike Conley,Naz Reid,MIN,MIN,804.3,778.3,-4.18,6.51
T.J. McConnell,Ben Sheppard,IND,IND,522.7,680.4,8.94,-1.81
Trae Young,Jalen Johnson,ATL,ATL,1141.9,923.6,-8.0,2.79
Mikal Bridges,Caleb Martin,CHA,CHA,657.1,313.9,-9.29,1.56
Alperen Şengün,Jabari Smith Jr.,HOU,HOU,1370.2,1225.2,-5.59,5.35
Caleb Martin,Brandon Miller,CHA,CHA,451.7,437.3,-7.52,3.42
Luguentz Dort,Cason Wallace,OKC,OKC,412.3,1037.5,-2.11,8.84
Fred VanVleet,Jabari Smith Jr.,HOU,HOU,1770.8,1044.8,-3.08,7.89
Moritz Wagner,Anthony Black,ORL,ORL,330.0,459.1,4.35,-6.7
Giannis Antetokounmpo,Bobby Portis,MIL,MIL,1017.6,481.9,-9.05,2.05
Isaac Okoro,Evan Mobley,CLE,CLE,545.5,508.4,-1.89,9.21
Jalen Green,Jabari Smith Jr.,HOU,HOU,598.8,1186.6,-6.07,5.05
Trae Young,De'Andre Hunter,ATL,ATL,622.2,725.8,-6.99,4.13
Aaron Wiggins,Jalen Williams,OKC,OKC,306.1,401.3,4.37,15.83
Shai Gilgeous-Alexander,Kenrich Williams,OKC,OKC,511.9,578.7,1.93,13.61
Bradley Beal,Royce O'Neale,PHX,PHX,376.3,728.7,3.68,-8.16
Zion Williamson,Trey Murphy III,NOP,NOP,925.4,414.1,-1.48,-13.36
Jamal Murray,Christian Braun,DEN,DEN,557.6,1724.2,-4.95,6.97
Trey Lyles,Keegan Murray,SAC,SAC,484.2,517.5,10.53,-1.41
Jalen Suggs,Anthony Black,ORL,ORL,512.1,319.3,3.22,-8.87
Chris Boucher,Scottie Barnes,TOR,TOR,415.0,375.8,-8.25,4.11
Jusuf Nurkić,Devin Booker,PHX,PHX,1396.0,390.9,5.32,-7.08
Kris Murray,Toumani Camara,POR,POR,531.4,343.9,10.13,-2.34
Goga Bitadze,Paolo Banchero,ORL,ORL,834.9,321.4,-0.93,-13.47
Alperen Şengün,Amen Thompson,HOU,HOU,374.4,1315.5,-10.29,2.45
Kyrie Irving,Maxi Kleber,DAL,DAL,546.0,326.5,9.85,-3.13
Zion Williamson,Jose Alvarado,NOP,NOP,432.1,403.9,8.85,-4.17
Jalen Brunson,Precious Achiuwa,NYK,NYK,699.4,624.5,4.87,-8.16
Kyle Lowry,Kelly Oubre Jr.,PHI,PHI,452.5,325.9,7.1,-6.12
Tyler Herro,Nikola Jović,MIA,MIA,377.8,733.0,9.57,-3.73
Dennis Schröder,Dorian Finney-Smith,BKN,BKN,571.2,378.3,-2.5,11.07
Coby White,Dalen Terry,CHI,CHI,318.9,501.0,6.31,-7.28
Caris LeVert,Evan Mobley,CLE,CLE,650.9,454.3,-1.77,11.84
Obi Toppin,Ben Sheppard,IND,IND,463.9,545.4,7.69,-5.95
Luke Kennard,Santi Aldama,MEM,MEM,437.0,676.8,-7.3,6.55
Bradley Beal,Jusuf Nurkić,PHX,PHX,1014.7,307.2,6.73,-7.29
Kevon Looney,Brandin Podziemski,GSW,GSW,549.0,512.6,3.52,17.82
Tyler Herro,Jaime Jaquez Jr.,MIA,MIA,605.2,793.0,4.99,-9.46
James Harden,Terance Mann,LAC,LAC,1421.8,403.7,1.79,-12.99
Kyle Kuzma,Jordan Poole,WAS,WAS,1560.7,524.3,-6.93,-22.12
Scoot Henderson,Shaedon Sharpe,POR,POR,320.3,893.0,-10.43,4.9
Kenrich Williams,Luguentz Dort,OKC,OKC,381.0,373.1,3.91,19.27
Jerami Grant,Scoot Henderson,POR,POR,662.9,627.1,-11.12,4.49
Anfernee Simons,Scoot Henderson,POR,POR,610.6,806.2,-13.35,2.36
OG Anunoby,Jalen Brunson,NYK,NYK,635.8,1797.6,17.08,1.26
Kenrich Williams,Aaron Wiggins,OKC,OKC,351.2,552.0,-0.58,15.26
Trey Murphy III,Jose Alvarado,NOP,NOP,532.7,476.2,7.78,-8.67
LeBron James,Cam Reddish,LAL,LAL,600.7,325.5,-0.18,-16.91
Damian Lillard,Khris Middleton,MIL,MIL,962.2,303.7,6.88,-9.99
Jordan Clarkson,Keyonte George,UTA,UTA,1005.0,420.5,1.45,-15.44
Isaiah Joe,Aaron Wiggins,OKC,OKC,370.0,658.2,2.29,19.19
Jonathan Isaac,Cole Anthony,ORL,ORL,712.5,301.9,8.29,-9.07
Isaac Okoro,Sam Merrill,CLE,CLE,347.4,326.6,2.4,20.04
Chet Holmgren,Cason Wallace,OKC,OKC,846.1,348.8,-2.48,16.14
Luke Kennard,Jaren Jackson Jr.,MEM,MEM,513.1,800.5,-16.38,2.36
Julian Strawther,Christian Braun,DEN,DEN,368.0,603.7,-7.1,13.03
OG Anunoby,Josh Hart,NYK,NYK,443.8,2095.2,22.22,-0.52
CJ McCollum,Jordan Hawkins,NOP,NOP,311.9,427.8,11.23,-13.96
