player_a,player_b,team,season,chemistry,usg_overlap,usg_sum,obpm_diff,dbpm_diff,dbpm_sum,twoway_complement,ast_diff,ts_diff,age_diff,bpm_max,bpm_min,bpm_diff,shared_min
Dejounte Murray,Trae Young,ATL,2023-24,-11.22,0.03,0.548,2.6,1.7,-2.9,-20.88,0.161,0.03,2.0,2.6,1.7,0.9,1172.2
Tyus Jones,Corey Kispert,WAS,2023-24,-11.26,0.03,0.352,1.7,1.1,-2.9,-4.32,0.22,0.042,3.0,0.7,-2.1,2.8,606.5
Bilal Coulibaly,Bub Carrington,WAS,2024-25,-11.34,0.021,0.329,0.3,0.6,-2.0,-4.6,0.063,0.001,1.0,-3.7,-4.6,0.9,1148.7
Jordan Poole,Bilal Coulibaly,WAS,2023-24,-11.45,0.117,0.395,1.6,1.4,-2.4,-0.31,0.126,0.014,6.0,-3.9,-4.2,0.3,719.5
Johnny Juzang,Kyle Filipowski,UTA,2024-25,-11.47,0.01,0.358,0.3,1.1,-1.7,0.15,0.06,0.021,3.0,-1.0,-2.3,1.3,558.9
Tyus Jones,Kyle Kuzma,WAS,2023-24,-11.8,0.134,0.456,1.0,0.7,-2.5,-5.04,0.13,0.031,0.0,0.7,-1.1,1.8,1746.3
Keyonte George,Kyle Filipowski,UTA,2024-25,-11.87,0.053,0.421,0.4,2.2,-2.8,0.69,0.132,0.055,0.0,-1.0,-2.7,1.7,795.5
Jordan Poole,Justin Champagnie,WAS,2024-25,-12.15,0.131,0.431,2.3,1.4,-1.8,0.36,0.188,0.023,2.0,0.4,-0.5,0.9,615.0
Jerami Grant,Anfernee Simons,POR,2023-24,-12.18,0.021,0.531,1.7,1.4,-3.6,-10.92,0.13,0.005,5.0,0.2,-0.1,0.3,790.7
LeBron James,Dalton Knecht,LAL,2024-25,-12.2,0.11,0.472,5.0,2.4,-1.0,-6.72,0.328,0.01,16.0,5.6,-1.8,7.4,777.5
Devin Vassell,Malaki Branham,SAS,2023-24,-12.34,0.037,0.421,4.3,1.3,-3.1,2.16,0.05,0.052,2.0,0.0,-5.6,5.6,594.0
Jordan Poole,Alex Sarr,WAS,2024-25,-12.47,0.051,0.511,4.2,0.6,-2.6,4.32,0.115,0.109,6.0,0.4,-3.3,3.7,1189.9
DeMar DeRozan,Zach LaVine,CHI,2023-24,-12.59,0.014,0.49,1.3,0.4,-1.0,-3.6,0.048,0.006,5.0,1.8,0.1,1.7,579.3
Deandre Ayton,Jabari Walker,POR,2023-24,-12.9,0.052,0.37,2.9,0.7,-1.1,1.05,0.024,0.041,4.0,0.3,-3.3,3.6,615.7
Andre Drummond,Kelly Oubre Jr.,PHI,2024-25,-13.16,0.003,0.369,0.7,0.2,-1.4,-1.76,0.009,0.016,2.0,-2.3,-3.2,0.9,540.1
Johnny Juzang,Keyonte George,UTA,2024-25,-13.33,0.063,0.411,0.7,1.1,-3.9,-1.15,0.192,0.034,3.0,-2.3,-2.7,0.4,531.6
Anfernee Simons,Scoot Henderson,POR,2023-24,-13.35,0.016,0.536,6.2,0.2,-4.8,6.24,0.032,0.079,5.0,0.2,-5.8,6.0,610.6
Nic Claxton,Keon Johnson,BKN,2024-25,-13.54,0.046,0.378,2.0,1.6,1.4,-7.8,0.008,0.07,3.0,0.4,-3.3,3.7,1086.3
Kyle Kuzma,Bilal Coulibaly,WAS,2023-24,-13.55,0.156,0.434,4.1,1.1,-2.1,6.51,0.115,0.004,9.0,-1.1,-4.2,3.1,962.8
Jordan Poole,Bub Carrington,WAS,2024-25,-13.66,0.127,0.435,5.3,0.3,-2.9,7.2,0.041,0.077,7.0,0.4,-4.6,5.0,1096.7
Cedi Osman,Devin Vassell,SAS,2023-24,-13.9,0.083,0.375,2.6,0.6,-1.2,2.52,0.061,0.023,6.0,0.0,-2.1,2.1,525.1
Nic Claxton,Ziaire Williams,BKN,2024-25,-14.19,0.013,0.345,1.1,1.6,1.4,-5.46,0.054,0.019,3.0,0.4,-2.3,2.7,936.6
Nic Claxton,Cameron Johnson,BKN,2024-25,-14.25,0.058,0.39,4.6,1.9,1.1,10.14,0.039,0.063,3.0,3.1,0.4,2.7,1048.8
Zach Collins,Devin Vassell,SAS,2023-24,-14.26,0.005,0.453,2.9,0.8,-1.0,3.42,0.004,0.013,3.0,0.0,-2.0,2.0,826.5
Mark Williams,Nick Smith Jr.,CHA,2024-25,-14.31,0.005,0.415,5.7,3.5,-1.7,0.96,0.015,0.145,2.0,3.5,-5.7,9.2,540.6
Anfernee Simons,Duop Reath,POR,2023-24,-14.66,0.074,0.478,2.9,1.8,-3.2,-2.6,0.18,0.003,3.0,0.2,-0.9,1.1,537.6
Ayo Dosunmu,Josh Giddey,CHI,2024-25,-14.95,0.051,0.377,3.3,1.3,0.9,0.96,0.112,0.015,3.0,3.0,-1.6,4.6,669.6
Tyus Jones,Bilal Coulibaly,WAS,2023-24,-15.03,0.022,0.3,5.1,0.4,-1.4,7.44,0.245,0.035,9.0,0.7,-4.2,4.9,855.0
Luke Kennard,Jaren Jackson Jr.,MEM,2023-24,-16.38,0.136,0.468,0.6,1.3,-0.5,0.6,0.079,0.088,4.0,0.4,-0.3,0.7,513.1
