player_a,player_b,team,season,chemistry,usg_overlap,usg_sum,obpm_diff,dbpm_diff,dbpm_sum,twoway_complement,ast_diff,ts_diff,age_diff,bpm_max,bpm_min,bpm_diff,shared_min
Tobias Harris,Malik Beasley,DET,2024-25,8.69,0.042,0.388,2.5,1.8,-0.6,3.52,0.006,0.019,4.0,0.8,0.1,0.7,1096.0
Dean Wade,Isaac Okoro,CLE,2023-24,8.67,0.035,0.237,0.1,1.1,2.5,-8.75,0.043,0.001,4.0,0.1,-1.1,1.2,600.9
Darius Garland,Dean Wade,CLE,2024-25,8.62,0.164,0.366,4.9,2.0,0.4,10.34,0.236,0.037,3.0,3.1,0.3,2.8,750.5
Kawhi Leonard,Ivica Zubac,LAC,2024-25,8.61,0.088,0.472,0.2,0.2,1.4,-2.85,0.026,0.052,6.0,3.1,3.1,0.0,959.1
Al Horford,Sam Hauser,BOS,2024-25,8.58,0.004,0.276,0.8,1.2,1.0,1.0,0.045,0.069,12.0,1.2,0.8,0.4,567.0
Pascal Siakam,Bennedict Mathurin,IND,2024-25,8.57,0.015,0.459,3.5,1.0,-2.0,-0.54,0.065,0.02,8.0,1.7,-2.9,4.6,1433.5
Rudy Gobert,Naz Reid,MIN,2024-25,8.55,0.081,0.339,0.2,0.5,2.1,0.0,0.048,0.11,8.0,1.9,1.6,0.3,947.8
Brandon Clarke,Scotty Pippen Jr.,MEM,2024-25,8.47,0.038,0.338,0.0,1.0,2.6,-1.44,0.211,0.056,4.0,1.9,0.8,1.1,571.4
Michael Porter Jr.,Christian Braun,DEN,2024-25,8.45,0.042,0.352,0.8,1.2,-2.2,-4.29,0.012,0.048,3.0,0.3,-0.1,0.4,1882.2
Josh Green,Dereck Lively II,DAL,2023-24,8.43,0.005,0.253,2.1,1.1,0.5,-2.31,0.051,0.14,3.0,0.5,-2.7,3.2,523.9
Jonathan Isaac,Cole Anthony,ORL,2023-24,8.29,0.072,0.392,2.0,1.7,3.1,-1.3,0.153,0.065,2.0,3.8,0.1,3.7,712.5
Jamal Murray,Michael Porter Jr.,DEN,2023-24,8.27,0.071,0.475,3.3,0.8,-1.6,-11.76,0.232,0.015,1.0,4.1,0.1,4.0,1389.8
Aaron Gordon,Jamal Murray,DEN,2024-25,8.2,0.049,0.421,0.9,0.5,-2.5,-11.76,0.08,0.066,1.0,1.2,0.8,0.4,912.6
Jonathan Kuminga,Brandin Podziemski,GSW,2023-24,8.18,0.088,0.386,0.5,0.8,0.0,0.36,0.053,0.058,0.0,-0.1,-0.4,0.3,1063.0
Aaron Gordon,Michael Porter Jr.,DEN,2023-24,8.15,0.028,0.376,0.0,1.3,-1.1,-2.64,0.083,0.006,2.0,1.3,0.1,1.2,1940.7
Ja Morant,Zach Edey,MEM,2024-25,8.15,0.156,0.468,3.3,0.8,-0.6,1.14,0.296,0.061,2.0,2.4,-0.1,2.5,684.4
Al Horford,Payton Pritchard,BOS,2023-24,8.13,0.049,0.287,0.4,2.2,1.8,0.45,0.084,0.053,12.0,3.6,1.0,2.6,671.2
Neemias Queta,Payton Pritchard,BOS,2024-25,8.09,0.05,0.322,5.1,0.8,1.2,8.64,0.108,0.041,2.0,3.5,-0.7,4.2,639.0
Derrick White,Sam Hauser,BOS,2024-25,8.05,0.055,0.335,1.8,0.9,0.7,-1.9,0.142,0.026,3.0,3.5,0.8,2.7,773.6
Rudy Gobert,Nickeil Alexander-Walker,MIN,2023-24,7.97,0.009,0.295,1.2,0.4,3.0,-3.84,0.088,0.097,7.0,1.8,0.2,1.6,1064.3
Georges Niang,Max Strus,CLE,2023-24,7.92,0.006,0.34,1.4,0.9,0.1,-3.36,0.091,0.03,3.0,-0.6,-2.9,2.3,597.4
Buddy Hield,Gary Payton II,GSW,2024-25,7.91,0.04,0.352,0.2,2.3,1.7,-1.0,0.026,0.075,0.0,1.4,-1.0,2.4,502.8
Reggie Jackson,Michael Porter Jr.,DEN,2023-24,7.9,0.007,0.411,3.0,0.3,-2.7,0.72,0.176,0.08,8.0,0.1,-3.2,3.3,969.9
Fred VanVleet,Jabari Smith Jr.,HOU,2024-25,7.89,0.016,0.336,0.4,1.2,1.4,-1.53,0.169,0.047,9.0,0.9,-0.7,1.6,1044.8
Gabe Vincent,Austin Reaves,LAL,2024-25,7.85,0.099,0.361,6.2,0.4,-0.6,10.73,0.151,0.08,2.0,1.9,-4.0,5.9,676.7
Mikal Bridges,Miles McBride,NYK,2024-25,7.84,0.03,0.354,0.8,1.3,-0.5,1.04,0.014,0.054,4.0,0.0,-0.5,0.5,1007.1
Luguentz Dort,Aaron Wiggins,OKC,2024-25,7.81,0.067,0.333,1.9,1.0,0.6,2.1,0.035,0.01,0.0,1.1,0.2,0.9,616.4
Jrue Holiday,Payton Pritchard,BOS,2023-24,7.8,0.007,0.329,0.3,1.3,0.9,0.15,0.012,0.0,8.0,2.1,1.0,1.1,708.7
Bogdan Bogdanović,Saddiq Bey,ATL,2023-24,7.79,0.055,0.381,0.8,1.3,-2.7,-3.36,0.089,0.02,6.0,0.2,-1.8,2.0,1146.9
Kevin Durant,Royce O'Neale,PHX,2023-24,7.79,0.149,0.417,4.2,1.3,1.5,6.24,0.064,0.078,4.0,4.0,1.3,2.7,533.3
Trey Murphy III,Jose Alvarado,NOP,2023-24,7.78,0.014,0.35,4.0,1.5,1.5,7.5,0.05,0.072,2.0,2.5,-0.1,2.6,532.7
Jusuf Nurkić,Grayson Allen,PHX,2023-24,7.72,0.044,0.33,2.1,2.0,2.2,3.1,0.069,0.12,1.0,1.3,1.1,0.2,1575.3
Caris LeVert,Max Strus,CLE,2023-24,7.66,0.057,0.391,0.5,0.3,1.3,-2.24,0.092,0.029,1.0,0.2,-0.6,0.8,826.8
Andre Drummond,Coby White,CHI,2023-24,7.66,0.023,0.425,0.1,0.6,-2.0,-3.0,0.163,0.006,6.0,0.1,-0.7,0.8,809.0
Trey Lyles,De'Aaron Fox,SAC,2023-24,7.64,0.161,0.439,3.0,0.8,-0.6,-0.75,0.165,0.029,2.0,2.7,-1.1,3.8,758.2
Jaylen Brown,Luke Kornet,BOS,2024-25,7.57,0.171,0.393,1.2,2.1,1.3,0.08,0.089,0.128,1.0,3.3,0.0,3.3,600.7
Darius Garland,Sam Merrill,CLE,2024-25,7.48,0.125,0.405,4.3,1.5,-0.1,5.17,0.21,0.017,4.0,3.1,0.3,2.8,525.0
Bobby Portis,Gary Trent Jr.,MIL,2024-25,7.46,0.066,0.402,1.8,0.0,-0.8,0.8,0.062,0.049,4.0,0.2,-1.6,1.8,736.5
Jarrett Allen,Dean Wade,CLE,2023-24,7.41,0.09,0.292,3.8,0.9,2.7,4.2,0.076,0.066,1.0,3.0,0.1,2.9,758.0
Aaron Wiggins,Cason Wallace,OKC,2024-25,7.41,0.076,0.324,2.8,2.8,2.4,6.15,0.015,0.034,5.0,1.1,1.0,0.1,625.9
Jayson Tatum,Payton Pritchard,BOS,2023-24,7.4,0.128,0.464,3.2,0.8,0.4,-5.85,0.003,0.007,0.0,5.1,1.0,4.1,927.7
Draymond Green,Jonathan Kuminga,GSW,2023-24,7.4,0.089,0.385,0.6,3.4,2.6,1.44,0.153,0.011,13.0,2.4,-0.4,2.8,699.3
Brook Lopez,Malik Beasley,MIL,2023-24,7.39,0.014,0.298,1.2,1.6,0.0,-0.12,0.012,0.005,9.0,1.0,-1.8,2.8,1844.0
Jrue Holiday,Jaylen Brown,BOS,2024-25,7.36,0.126,0.438,0.7,1.4,0.6,1.04,0.03,0.01,7.0,0.7,0.0,0.7,1220.3
Kenrich Williams,Cason Wallace,OKC,2023-24,7.34,0.005,0.259,0.2,0.7,1.3,-2.66,0.028,0.044,9.0,0.1,-0.8,0.9,542.3
Russell Westbrook,Aaron Gordon,DEN,2024-25,7.34,0.044,0.416,3.6,1.3,-1.7,2.94,0.146,0.118,7.0,1.2,-1.1,2.3,587.2
Zion Williamson,Naji Marshall,NOP,2023-24,7.32,0.127,0.443,4.6,0.1,1.1,4.86,0.117,0.034,3.0,3.8,-0.7,4.5,506.5
Naji Marshall,Trey Murphy III,NOP,2023-24,7.26,0.024,0.34,3.8,0.5,0.5,4.5,0.035,0.036,2.0,2.5,-0.7,3.2,572.3
Reggie Jackson,Aaron Gordon,DEN,2023-24,7.23,0.035,0.383,3.0,1.6,-1.4,0.33,0.093,0.086,6.0,1.3,-3.2,4.5,829.0
Onyeka Okongwu,Saddiq Bey,ATL,2023-24,7.21,0.029,0.297,0.1,1.5,-2.5,-1.05,0.013,0.125,2.0,-0.4,-1.8,1.4,890.2
Davion Mitchell,Keegan Murray,SAC,2023-24,7.19,0.031,0.325,2.0,0.5,-1.5,0.14,0.1,0.014,2.0,-0.9,-3.4,2.5,613.7
Norman Powell,Derrick Jones Jr.,LAC,2024-25,7.19,0.095,0.415,2.7,0.9,0.5,3.23,0.052,0.006,4.0,1.5,-0.3,1.8,1041.6
Luke Kornet,Sam Hauser,BOS,2023-24,7.18,0.039,0.253,0.4,1.8,1.8,0.24,0.027,0.107,2.0,3.4,1.2,2.2,631.6
Rudy Gobert,Nickeil Alexander-Walker,MIN,2024-25,7.16,0.026,0.284,1.4,0.9,1.7,-0.84,0.074,0.108,7.0,1.9,-0.4,2.3,1008.3
Dillon Brooks,Jabari Smith Jr.,HOU,2024-25,7.15,0.016,0.336,0.6,0.1,0.1,-1.26,0.028,0.007,7.0,-0.7,-1.4,0.7,1036.5
Isaiah Joe,Jalen Williams,OKC,2023-24,7.14,0.075,0.389,0.9,0.6,0.0,-2.38,0.109,0.005,1.0,2.3,0.9,1.4,515.5
Tyrese Haliburton,Aaron Nesmith,IND,2024-25,7.1,0.039,0.381,5.7,0.7,-0.3,-2.75,0.321,0.037,0.0,5.8,-0.5,6.3,762.3
Danté Exum,Luka Dončić,DAL,2023-24,7.09,0.207,0.503,8.6,2.0,1.4,-0.0,0.247,0.028,3.0,9.9,-0.6,10.5,679.2
Shai Gilgeous-Alexander,Isaiah Joe,OKC,2023-24,7.06,0.16,0.474,5.6,2.6,2.0,-6.16,0.194,0.01,1.0,9.0,0.9,8.1,1086.8
Jarrett Allen,Dean Wade,CLE,2024-25,7.04,0.055,0.257,4.0,0.0,2.4,3.96,0.018,0.161,1.0,4.2,0.3,3.9,715.3
Jarrett Allen,Isaac Okoro,CLE,2024-25,6.98,0.032,0.28,4.1,0.6,1.8,3.06,0.013,0.137,3.0,4.2,-0.5,4.7,629.3
Khris Middleton,Malik Beasley,MIL,2023-24,6.97,0.088,0.372,2.1,0.8,-0.8,0.22,0.213,0.008,5.0,1.1,-1.8,2.9,1056.8
Jamal Murray,Christian Braun,DEN,2024-25,6.97,0.08,0.39,1.0,0.5,-1.5,-3.64,0.127,0.081,4.0,0.8,0.3,0.5,1724.2
Duncan Robinson,Haywood Highsmith,MIA,2024-25,6.94,0.076,0.298,2.0,2.0,-0.2,1.44,0.064,0.012,3.0,-1.7,-1.9,0.2,905.6
Jaren Jackson Jr.,Ja Morant,MEM,2024-25,6.93,0.038,0.586,1.5,1.5,0.1,-3.04,0.253,0.028,0.0,2.4,2.3,0.1,920.7
Andrew Nembhard,Aaron Nesmith,IND,2023-24,6.92,0.003,0.319,1.3,0.3,-0.7,-0.11,0.141,0.058,0.0,-0.5,-2.2,1.7,1102.1
Nickeil Alexander-Walker,Naz Reid,MIN,2024-25,6.89,0.055,0.365,1.6,0.4,1.2,0.0,0.026,0.002,1.0,1.6,-0.4,2.0,1501.2
Damian Lillard,Khris Middleton,MIL,2023-24,6.88,0.044,0.504,2.3,1.3,-1.3,-5.17,0.012,0.005,1.0,2.1,1.1,1.0,962.2
James Harden,Kawhi Leonard,LAC,2024-25,6.86,0.006,0.566,1.0,0.2,1.4,-5.13,0.218,0.007,1.0,4.3,3.1,1.2,881.8
Chris Paul,Brandin Podziemski,GSW,2023-24,6.84,0.005,0.303,0.3,0.8,1.6,-1.26,0.166,0.004,18.0,1.0,-0.1,1.1,614.1
Dennis Schröder,Malik Beasley,DET,2024-25,6.82,0.004,0.426,2.9,0.0,-2.4,-0.96,0.198,0.059,3.0,0.8,-2.1,2.9,504.3
Karl-Anthony Towns,Cameron Payne,NYK,2024-25,6.81,0.065,0.465,3.6,0.3,-0.1,-0.34,0.121,0.098,1.0,3.6,-0.2,3.8,695.5
Trey Lyles,Malik Monk,SAC,2023-24,6.8,0.108,0.386,1.9,0.3,-1.7,-0.75,0.211,0.032,2.0,0.6,-1.1,1.7,807.9
Ty Jerome,Evan Mobley,CLE,2024-25,6.76,0.003,0.455,0.4,0.7,2.3,-4.32,0.092,0.01,3.0,4.6,4.3,0.3,625.2
Josh Giddey,Chet Holmgren,OKC,2023-24,6.75,0.013,0.433,0.8,1.1,1.9,-0.18,0.14,0.085,1.0,3.4,1.5,1.9,1479.4
Bradley Beal,Jusuf Nurkić,PHX,2023-24,6.73,0.037,0.411,1.9,2.7,1.5,4.65,0.029,0.048,2.0,1.1,0.4,0.7,1014.7
Jayson Tatum,Sam Hauser,BOS,2024-25,6.73,0.161,0.441,3.5,0.9,0.7,-3.6,0.209,0.05,0.0,5.2,0.8,4.4,841.0
Nicolas Batum,Joel Embiid,PHI,2023-24,6.71,0.302,0.472,9.8,2.4,3.8,10.8,0.21,0.041,5.0,11.6,-0.5,12.1,633.2
DeMar DeRozan,Malik Monk,SAC,2024-25,6.71,0.008,0.48,0.9,0.1,-2.3,-3.36,0.064,0.02,8.0,-0.1,-0.8,0.7,1510.7
Jayson Tatum,Luke Kornet,BOS,2024-25,6.71,0.19,0.412,2.8,0.9,2.5,0.36,0.151,0.101,2.0,5.2,3.3,1.9,883.5
Nicolas Batum,Tobias Harris,PHI,2023-24,6.7,0.118,0.288,2.3,0.8,0.6,2.2,0.031,0.027,4.0,0.9,-0.5,1.4,892.1
Al Horford,Derrick White,BOS,2024-25,6.68,0.059,0.331,2.6,0.3,1.9,1.9,0.097,0.043,9.0,3.5,1.2,2.3,1197.4
Kris Dunn,Amir Coffey,LAC,2024-25,6.67,0.024,0.276,1.3,3.6,3.2,-8.06,0.088,0.083,3.0,0.6,-1.7,2.3,629.5
Luguentz Dort,Chet Holmgren,OKC,2023-24,6.66,0.058,0.362,3.2,1.7,1.3,0.36,0.051,0.039,3.0,3.4,-1.6,5.0,1600.0
Duncan Robinson,Jaime Jaquez Jr.,MIA,2023-24,6.61,0.003,0.365,1.7,0.7,-0.1,-0.25,0.014,0.038,7.0,-0.9,-1.9,1.0,957.6
Luguentz Dort,Jalen Williams,OKC,2024-25,6.61,0.137,0.403,3.3,0.6,2.2,1.82,0.166,0.013,2.0,4.0,0.2,3.8,1393.7
Norman Powell,Kris Dunn,LAC,2024-25,6.59,0.129,0.381,4.5,3.6,3.2,11.78,0.057,0.084,1.0,1.5,0.6,0.9,982.7
Tobias Harris,Isaiah Stewart,DET,2024-25,6.59,0.052,0.294,1.1,1.5,2.7,-4.07,0.025,0.045,8.0,0.6,0.1,0.5,651.8
Donovan Mitchell,Dean Wade,CLE,2023-24,6.55,0.2,0.402,6.3,0.6,3.0,11.9,0.216,0.003,0.0,5.8,0.1,5.7,597.5
Luke Kennard,Santi Aldama,MEM,2024-25,6.55,0.039,0.319,1.6,0.5,0.9,-1.26,0.03,0.043,5.0,3.2,1.1,2.1,676.8
Isaiah Hartenstein,Jalen Brunson,NYK,2023-24,6.54,0.195,0.427,5.6,3.2,2.4,14.07,0.188,0.078,1.0,5.8,3.5,2.3,1333.2
Julius Randle,Isaiah Hartenstein,NYK,2023-24,6.54,0.171,0.403,1.5,3.1,2.5,5.25,0.09,0.101,3.0,3.5,1.9,1.6,780.1
Ja Morant,Jaylen Wells,MEM,2024-25,6.54,0.156,0.468,4.3,0.3,-1.7,0.76,0.273,0.003,4.0,2.4,-2.2,4.6,854.7
Mason Plumlee,Devin Booker,PHX,2024-25,6.54,0.18,0.39,4.3,3.4,-1.4,13.0,0.168,0.056,7.0,0.4,-0.6,1.0,847.5
Luguentz Dort,Jalen Williams,OKC,2023-24,6.53,0.08,0.384,3.4,0.5,0.1,2.04,0.141,0.028,2.0,2.3,-1.6,3.9,1414.3
Nicolas Batum,Tyrese Maxey,PHI,2023-24,6.52,0.188,0.358,5.4,1.7,-0.3,10.2,0.152,0.03,12.0,3.1,-0.5,3.6,1042.2
Jarrett Allen,Max Strus,CLE,2024-25,6.51,0.013,0.299,1.9,1.0,1.4,-1.62,0.066,0.117,2.0,4.2,1.3,2.9,919.1
Mike Conley,Naz Reid,MIN,2024-25,6.51,0.069,0.351,0.9,0.5,2.1,0.0,0.12,0.004,12.0,1.6,1.2,0.4,778.3
Donovan Mitchell,Sam Merrill,CLE,2024-25,6.51,0.158,0.438,4.2,0.9,0.5,4.4,0.139,0.008,1.0,3.7,0.3,3.4,721.9
Jayson Tatum,Sam Hauser,BOS,2023-24,6.49,0.15,0.442,3.3,0.6,0.6,-4.68,0.149,0.025,0.0,5.1,1.2,3.9,893.5
Bobby Portis,Malik Beasley,MIL,2023-24,6.49,0.082,0.366,1.0,0.0,-1.6,0.16,0.019,0.022,2.0,-0.8,-1.8,1.0,789.7
Mike Conley,Rudy Gobert,MIN,2024-25,6.49,0.012,0.27,0.7,0.0,2.6,-0.98,0.168,0.114,4.0,1.9,1.2,0.7,1316.5
Donovan Mitchell,Isaac Okoro,CLE,2024-25,6.49,0.174,0.422,4.9,0.8,0.4,6.8,0.16,0.012,4.0,3.7,-0.5,4.2,505.1
Isaiah Joe,Cason Wallace,OKC,2023-24,6.48,0.03,0.284,2.0,1.3,0.7,2.66,0.001,0.014,4.0,0.9,0.1,0.8,706.1
Bam Adebayo,Nikola Jović,MIA,2023-24,6.43,0.076,0.418,1.7,0.4,3.0,-1.98,0.053,0.007,5.0,2.4,0.3,2.1,662.1
Jamal Murray,Michael Porter Jr.,DEN,2024-25,6.43,0.038,0.432,0.2,0.7,-2.7,-9.24,0.139,0.033,1.0,0.8,-0.1,0.9,1675.7
Myles Turner,Aaron Nesmith,IND,2023-24,6.41,0.076,0.392,1.3,0.1,-0.3,0.11,0.002,0.005,4.0,0.9,-0.5,1.4,1226.7
Bennedict Mathurin,Ben Sheppard,IND,2024-25,6.4,0.114,0.33,0.9,1.7,-1.3,0.48,0.003,0.024,0.0,-2.0,-2.9,0.9,542.8
Max Strus,Darius Garland,CLE,2023-24,6.35,0.082,0.416,1.3,1.7,-0.7,2.24,0.129,0.007,4.0,-0.6,-1.0,0.4,991.2
John Collins,Collin Sexton,UTA,2024-25,6.35,0.03,0.498,0.3,1.9,-2.7,-7.2,0.141,0.035,1.0,1.0,-0.6,1.6,625.5
Kristaps Porziņģis,Derrick White,BOS,2023-24,6.32,0.064,0.43,1.1,0.2,3.0,-1.9,0.111,0.036,1.0,5.1,3.8,1.3,1283.3
Sam Merrill,Evan Mobley,CLE,2024-25,6.32,0.086,0.366,3.5,0.8,2.2,1.76,0.05,0.05,5.0,4.6,0.3,4.3,697.3
Shai Gilgeous-Alexander,Aaron Wiggins,OKC,2024-25,6.31,0.136,0.536,7.6,2.8,2.4,-9.45,0.197,0.041,0.0,11.5,1.1,10.4,903.7
Jabari Smith Jr.,Amen Thompson,HOU,2024-25,6.3,0.012,0.332,2.2,2.5,2.7,-1.08,0.119,0.04,0.0,4.1,-0.7,4.8,747.2
Bogdan Bogdanović,De'Andre Hunter,ATL,2023-24,6.29,0.014,0.422,1.8,0.8,-2.2,-0.96,0.074,0.026,5.0,0.2,-2.4,2.6,904.0
Georges Niang,Darius Garland,CLE,2023-24,6.27,0.076,0.422,2.7,0.8,-1.6,2.94,0.22,0.023,7.0,-1.0,-2.9,1.9,830.1
Herbert Jones,Trey Murphy III,NOP,2023-24,6.25,0.041,0.323,3.4,1.5,1.5,6.0,0.008,0.024,1.0,2.5,0.6,1.9,914.1
Gary Harris,Cole Anthony,ORL,2023-24,6.25,0.118,0.346,1.7,0.4,1.8,-4.42,0.11,0.042,5.0,0.1,-1.2,1.3,531.5
Karl-Anthony Towns,Miles McBride,NYK,2024-25,6.18,0.103,0.427,3.9,0.3,0.5,2.72,0.025,0.099,5.0,3.6,0.0,3.6,883.6
Alex Caruso,Shai Gilgeous-Alexander,OKC,2024-25,6.11,0.189,0.483,8.8,1.3,6.5,23.94,0.128,0.069,5.0,11.5,4.0,7.5,571.0
Goga Bitadze,Anthony Black,ORL,2023-24,6.1,0.006,0.252,3.1,2.0,3.6,-16.1,0.009,0.069,4.0,2.1,-3.0,5.1,544.4
Draymond Green,Brandin Podziemski,GSW,2023-24,6.09,0.001,0.297,0.1,2.6,3.4,-3.24,0.1,0.047,13.0,2.4,-0.1,2.5,617.9
Shai Gilgeous-Alexander,Isaiah Joe,OKC,2024-25,6.07,0.17,0.502,7.5,2.7,2.5,-9.45,0.203,0.02,1.0,11.5,1.3,10.2,941.3
Kyrie Irving,P.J. Washington,DAL,2023-24,6.06,0.089,0.459,6.6,0.6,0.8,11.75,0.138,0.071,7.0,4.9,-1.2,6.1,762.4
Nickeil Alexander-Walker,Naz Reid,MIN,2023-24,6.05,0.08,0.366,1.5,0.2,2.4,-1.68,0.06,0.017,1.0,1.5,0.2,1.3,1077.9
Stephen Curry,Brandin Podziemski,GSW,2024-25,6.03,0.109,0.463,6.5,0.8,0.8,5.76,0.09,0.061,15.0,6.3,0.7,5.6,651.8
Trayce Jackson-Davis,Brandin Podziemski,GSW,2023-24,5.99,0.008,0.306,2.0,0.8,1.6,0.27,0.073,0.152,3.0,2.8,-0.1,2.9,574.2
Jaylen Brown,Derrick White,BOS,2023-24,5.98,0.1,0.466,1.5,1.5,1.3,-1.0,0.044,0.031,2.0,3.8,0.7,3.1,1846.7
Damian Lillard,Pat Connaughton,MIL,2023-24,5.97,0.168,0.38,5.0,1.3,-1.3,7.52,0.161,0.016,2.0,2.1,-1.6,3.7,860.6
Coby White,Patrick Williams,CHI,2023-24,5.96,0.061,0.387,2.8,1.2,-1.4,4.0,0.127,0.017,2.0,-0.7,-2.3,1.6,908.9
Cole Anthony,Franz Wagner,ORL,2023-24,5.93,0.018,0.482,1.5,0.4,1.0,0.78,0.017,0.03,2.0,1.2,0.1,1.1,883.5
Harrison Barnes,Keon Ellis,SAC,2023-24,5.92,0.031,0.277,0.3,3.3,0.9,1.8,0.059,0.016,8.0,1.2,-1.8,3.0,559.0
Donte DiVincenzo,Nickeil Alexander-Walker,MIN,2024-25,5.92,0.033,0.343,1.6,0.7,1.5,-0.36,0.054,0.003,2.0,1.9,-0.4,2.3,925.3
Alec Burks,Bam Adebayo,MIA,2024-25,5.91,0.072,0.392,1.0,0.7,1.3,0.0,0.114,0.047,6.0,2.0,0.3,1.7,549.7
Norman Powell,Amir Coffey,LAC,2024-25,5.9,0.105,0.405,3.2,0.0,-0.4,2.47,0.031,0.001,4.0,1.5,-1.7,3.2,572.8
Myles Turner,Bennedict Mathurin,IND,2024-25,5.86,0.015,0.429,1.3,1.9,-1.1,0.08,0.018,0.033,6.0,0.4,-2.9,3.3,1255.3
P.J. Washington,Dereck Lively II,DAL,2024-25,5.86,0.066,0.33,2.2,2.0,2.4,-1.43,0.045,0.148,5.0,3.3,-0.9,4.2,552.1
Luguentz Dort,Chet Holmgren,OKC,2024-25,5.86,0.081,0.347,1.1,1.1,2.7,-1.96,0.024,0.013,3.0,2.4,0.2,2.2,539.3
Al Horford,Kristaps Porziņģis,BOS,2023-24,5.85,0.128,0.366,1.8,0.4,3.6,0.57,0.026,0.003,10.0,5.1,3.6,1.5,587.4
Bradley Beal,Grayson Allen,PHX,2023-24,5.8,0.081,0.367,0.2,0.7,-0.5,-1.5,0.098,0.072,3.0,1.3,0.4,0.9,1100.3
Stephen Curry,Buddy Hield,GSW,2024-25,5.8,0.09,0.482,7.1,0.3,-0.3,2.56,0.178,0.058,5.0,6.3,-1.0,7.3,968.5
Duncan Robinson,Kel'el Ware,MIA,2024-25,5.8,0.018,0.356,0.0,1.7,-0.5,0.52,0.086,0.008,10.0,-0.1,-1.7,1.6,599.5
Ivica Zubac,Terance Mann,LAC,2023-24,5.79,0.03,0.3,1.6,0.7,-0.7,0.08,0.011,0.056,0.0,0.8,-1.5,2.3,1104.3
James Harden,Norman Powell,LAC,2023-24,5.76,0.009,0.395,3.4,1.5,-0.9,-5.6,0.279,0.014,3.0,4.1,-0.8,4.9,1102.4
Andre Drummond,Jevon Carter,CHI,2023-24,5.76,0.033,0.369,4.1,0.0,-1.4,3.9,0.088,0.091,2.0,0.1,-4.0,4.1,542.6
Kristaps Porziņģis,Jaylen Brown,BOS,2023-24,5.75,0.036,0.53,2.6,1.7,1.5,-1.9,0.067,0.067,1.0,5.1,0.7,4.4,1355.3
Tim Hardaway Jr.,Dwight Powell,DAL,2023-24,5.71,0.133,0.307,0.3,2.9,-1.3,2.47,0.034,0.174,0.0,-0.3,-2.9,2.6,554.1
Caris LeVert,Darius Garland,CLE,2023-24,5.7,0.025,0.473,0.8,2.0,-0.4,1.96,0.037,0.036,5.0,0.2,-1.0,1.2,833.4
Aaron Gordon,Jamal Murray,DEN,2023-24,5.69,0.099,0.447,3.3,0.5,-0.3,-5.39,0.149,0.021,1.0,4.1,1.3,2.8,1276.8
Eric Gordon,Devin Booker,PHX,2023-24,5.66,0.127,0.451,5.3,0.5,-1.5,4.0,0.199,0.031,8.0,3.0,-1.7,4.7,1021.2
Rudy Gobert,Naz Reid,MIN,2023-24,5.65,0.071,0.375,0.3,0.6,2.8,-1.12,0.028,0.08,8.0,1.8,1.5,0.3,916.9
Nickeil Alexander-Walker,Jaden McDaniels,MIN,2023-24,5.61,0.013,0.299,2.2,0.6,2.0,-9.6,0.078,0.007,2.0,0.2,-2.6,2.8,643.4
Brandon Ingram,Trey Murphy III,NOP,2023-24,5.59,0.087,0.451,1.1,0.3,-0.3,-4.25,0.155,0.034,2.0,2.5,1.2,1.3,717.9
Al Horford,Derrick White,BOS,2023-24,5.58,0.064,0.302,0.7,0.6,3.4,0.3,0.085,0.039,9.0,3.8,3.6,0.2,1094.2
Norman Powell,Amir Coffey,LAC,2023-24,5.55,0.074,0.312,2.3,0.9,-1.5,2.56,0.009,0.022,4.0,-0.8,-2.2,1.4,885.0
Daniel Theis,Amir Coffey,LAC,2023-24,5.55,0.031,0.269,0.3,0.4,-0.2,-2.72,0.013,0.007,5.0,-1.5,-2.2,0.7,519.9
Josh Giddey,Jalen Williams,OKC,2023-24,5.54,0.009,0.455,1.0,0.1,0.7,-1.02,0.05,0.074,2.0,2.3,1.5,0.8,1387.4
Joe Ingles,Cole Anthony,ORL,2023-24,5.53,0.121,0.343,1.1,0.5,1.9,-3.77,0.017,0.067,12.0,0.1,-0.5,0.6,879.8
Brook Lopez,Damian Lillard,MIL,2023-24,5.52,0.118,0.43,3.2,2.1,-0.5,2.82,0.213,0.018,3.0,2.1,1.0,1.1,1949.8
Joe Ingles,Moritz Wagner,ORL,2023-24,5.52,0.109,0.331,3.4,0.9,1.5,4.06,0.108,0.064,9.0,2.0,-0.5,2.5,779.0
Payton Pritchard,Sam Hauser,BOS,2024-25,5.52,0.046,0.326,2.5,0.3,0.1,-3.2,0.127,0.001,0.0,3.5,0.8,2.7,1177.4
Donovan Mitchell,Max Strus,CLE,2024-25,5.51,0.155,0.441,2.7,0.4,0.0,-3.6,0.081,0.032,1.0,3.7,1.3,2.4,680.4
Chris Paul,Julian Champagnie,SAS,2024-25,5.5,0.027,0.301,0.6,1.4,-0.4,0.12,0.264,0.003,16.0,0.8,-1.3,2.1,960.3
Andrew Wiggins,Brandin Podziemski,GSW,2023-24,5.46,0.057,0.355,0.9,1.6,-0.8,-0.18,0.089,0.004,8.0,-0.1,-2.5,2.4,806.2
Donovan Mitchell,Dean Wade,CLE,2024-25,5.46,0.197,0.399,4.8,1.4,1.0,8.8,0.165,0.012,0.0,3.7,0.3,3.4,644.6
