player_a,player_b,team,season,gp,w,l,shared_min,pair_pm,pair_pm_per48,a_bpm,a_obpm,a_dbpm,b_bpm,b_obpm,b_dbpm,expected,chemistry
Bogdan Bogdanović,Onyeka Okongwu,ATL,2023-24,53,22,31,1070.6,43.0,1.93,0.2,0.9,-0.7,-0.4,0.0,-0.5,-0.2,2.13
Chris Paul,Dario Šarić,GSW,2023-24,40,21,19,534.4,46.0,4.13,1.0,-0.2,1.2,1.0,0.6,0.4,2.0,2.13
Chris Paul,Keldon Johnson,SAS,2024-25,76,31,45,685.3,19.0,1.33,0.8,0.3,0.5,-1.6,0.0,-1.6,-0.8,2.13
Mike Conley,Jaden McDaniels,MIN,2023-24,66,45,21,1399.0,85.0,2.92,3.4,2.0,1.4,-2.6,-3.3,0.7,0.8,2.12
Kevin Durant,Eric Gordon,PHX,2023-24,62,37,25,1274.3,117.0,4.41,4.0,4.0,0.1,-1.7,-1.3,-0.5,2.3,2.11
Jarrett Allen,Darius Garland,CLE,2024-25,75,60,15,1996.9,391.0,9.4,4.2,3.0,1.2,3.1,3.9,-0.8,7.3,2.1
Derrick Jones Jr.,Dereck Lively II,DAL,2023-24,47,30,17,579.1,13.0,1.08,-1.5,-1.3,-0.3,0.5,-0.3,0.8,-1.0,2.08
Jordan Clarkson,Lauri Markkanen,UTA,2023-24,47,20,27,900.5,22.0,1.17,-4.5,-1.3,-3.2,3.6,5.1,-1.5,-0.9,2.07
Kentavious Caldwell-Pope,Wendell Carter Jr.,ORL,2024-25,64,29,35,1261.5,-14.0,-0.53,-1.4,-3.0,1.6,-1.2,-2.2,0.9,-2.6,2.07
Malik Monk,Keegan Murray,SAC,2023-24,67,39,28,929.3,34.0,1.76,0.6,1.5,-1.0,-0.9,-0.4,-0.5,-0.3,2.06
Donovan Mitchell,Darius Garland,CLE,2023-24,36,22,14,750.3,107.0,6.85,5.8,4.6,1.2,-1.0,0.2,-1.2,4.8,2.05
Dillon Brooks,Tari Eason,HOU,2024-25,55,35,20,733.5,65.0,4.25,-1.4,-1.4,0.0,3.6,1.0,2.6,2.2,2.05
Russell Westbrook,Amir Coffey,LAC,2023-24,49,35,14,581.3,4.0,0.33,0.5,-0.2,0.7,-2.2,-1.9,-0.3,-1.7,2.03
Nickeil Alexander-Walker,Jaden McDaniels,MIN,2024-25,80,48,32,945.0,32.0,1.63,-0.4,-0.8,0.4,0.0,-1.4,1.4,-0.4,2.03
Cameron Payne,Bobby Portis,MIL,2023-24,47,30,17,517.0,-3.0,-0.28,-1.5,-1.0,-0.5,-0.8,0.0,-0.8,-2.3,2.02
Austin Reaves,Dalton Knecht,LAL,2024-25,63,38,25,705.9,31.0,2.11,1.9,2.4,-0.5,-1.8,-0.1,-1.7,0.1,2.01
Bam Adebayo,Kel'el Ware,MIA,2024-25,42,18,24,540.8,44.0,3.91,2.0,1.0,1.0,-0.1,-0.7,0.6,1.9,2.01
James Harden,Paul George,LAC,2023-24,66,43,23,1775.0,344.0,9.3,4.1,3.8,0.3,3.2,2.9,0.2,7.3,2.0
Rudy Gobert,Jaden McDaniels,MIN,2024-25,72,43,29,1778.7,144.0,3.89,1.9,0.6,1.3,0.0,-1.4,1.4,1.9,1.99
Andrew Nembhard,Tyrese Haliburton,IND,2023-24,55,35,20,1064.4,148.0,6.67,-2.2,-1.6,-0.5,6.9,7.3,-0.4,4.7,1.97
Jamal Murray,Julian Strawther,DEN,2024-25,54,33,21,684.7,-25.0,-1.75,0.8,1.8,-1.0,-4.5,-3.1,-1.4,-3.7,1.95
Shai Gilgeous-Alexander,Kenrich Williams,OKC,2023-24,58,43,15,511.9,108.0,10.13,9.0,6.7,2.3,-0.8,-1.1,0.3,8.2,1.93
Fred VanVleet,Dillon Brooks,HOU,2023-24,64,34,30,1782.8,64.0,1.72,3.4,2.6,0.8,-3.6,-3.3,-0.3,-0.2,1.92
Mikal Bridges,Precious Achiuwa,NYK,2024-25,54,34,20,780.5,-8.0,-0.49,-0.5,0.4,-0.9,-1.9,-2.1,0.2,-2.4,1.91
Haywood Highsmith,Tyler Herro,MIA,2024-25,69,34,35,1395.4,90.0,3.1,-1.9,-2.7,0.9,3.1,3.8,-0.7,1.2,1.9
Clint Capela,Jalen Johnson,ATL,2024-25,35,18,17,639.4,36.0,2.7,-1.0,-0.6,-0.4,1.8,0.5,1.4,0.8,1.9
Bobby Portis,Pat Connaughton,MIL,2023-24,76,45,31,1279.9,-14.0,-0.53,-0.8,0.0,-0.8,-1.6,-1.6,0.0,-2.4,1.87
Nicolas Batum,Kelly Oubre Jr.,PHI,2023-24,42,24,18,668.9,-13.0,-0.93,-0.5,-1.3,0.7,-2.3,-1.5,-0.7,-2.8,1.87
Giannis Antetokounmpo,Malik Beasley,MIL,2023-24,70,42,28,1658.6,313.0,9.06,9.0,6.7,2.4,-1.8,-1.0,-0.8,7.2,1.86
Tyrese Haliburton,Aaron Nesmith,IND,2023-24,62,35,27,1245.4,214.0,8.25,6.9,7.3,-0.4,-0.5,-0.3,-0.2,6.4,1.85
Isaiah Stewart,Jaden Ivey,DET,2023-24,42,9,33,768.4,-57.0,-3.56,-2.3,-1.6,-0.7,-3.1,-1.4,-1.7,-5.4,1.84
Kristaps Porziņģis,Jaylen Brown,BOS,2024-25,33,23,10,807.6,110.0,6.54,4.7,3.5,1.2,0.0,0.4,-0.4,4.7,1.84
Rui Hachimura,Max Christie,LAL,2024-25,36,20,16,651.7,-9.0,-0.66,-0.7,-0.1,-0.6,-1.8,-1.8,0.0,-2.5,1.84
Rudy Gobert,Julius Randle,MIN,2024-25,65,40,25,1268.0,133.0,5.03,1.9,0.6,1.3,1.3,1.5,-0.2,3.2,1.83
Coby White,Julian Phillips,CHI,2024-25,70,33,37,578.4,-25.0,-2.07,-0.9,0.5,-1.4,-3.0,-2.6,-0.4,-3.9,1.83
Toumani Camara,Donovan Clingan,POR,2024-25,61,27,34,779.0,23.0,1.42,-0.1,-0.9,0.8,-0.3,-1.7,1.4,-0.4,1.82
James Harden,Terance Mann,LAC,2023-24,70,45,25,1421.8,130.0,4.39,4.1,3.8,0.3,-1.5,-0.8,-0.7,2.6,1.79
Jayson Tatum,Derrick White,BOS,2024-25,68,51,17,1776.2,388.0,10.49,5.2,4.4,0.8,3.5,2.7,0.8,8.7,1.79
Nicolas Batum,Kevin Porter Jr.,LAC,2024-25,41,22,19,524.7,1.0,0.09,0.8,-1.2,2.0,-2.5,-3.2,0.7,-1.7,1.79
Nikola Jokić,Julian Strawther,DEN,2024-25,57,38,19,653.9,144.0,10.57,13.3,9.9,3.3,-4.5,-3.1,-1.4,8.8,1.77
Tyrese Maxey,Paul Reed,PHI,2023-24,70,43,27,1058.1,116.0,5.26,3.1,4.1,-1.0,0.4,-0.6,1.0,3.5,1.76
Eric Gordon,Bradley Beal,PHX,2023-24,41,27,14,621.2,6.0,0.46,-1.7,-1.3,-0.5,0.4,0.9,-0.6,-1.3,1.76
Malik Monk,Davion Mitchell,SAC,2023-24,53,30,23,554.9,-12.0,-1.04,0.6,1.5,-1.0,-3.4,-2.4,-1.0,-2.8,1.76
Julius Randle,Jaden McDaniels,MIN,2024-25,69,44,25,1634.5,104.0,3.05,1.3,1.5,-0.2,0.0,-1.4,1.4,1.3,1.75
Max Strus,Evan Mobley,CLE,2024-25,43,35,8,716.6,114.0,7.64,1.3,1.1,0.2,4.6,3.1,1.5,5.9,1.74
Ochai Agbaji,Davion Mitchell,TOR,2024-25,38,12,26,574.4,-39.0,-3.26,-0.7,-0.9,0.2,-4.3,-4.0,-0.3,-5.0,1.74
Chris Paul,Stephen Curry,GSW,2023-24,51,30,21,599.3,99.0,7.93,1.0,-0.2,1.2,5.2,6.3,-1.1,6.2,1.73
Jaxson Hayes,Austin Reaves,LAL,2024-25,52,35,17,721.5,50.0,3.33,-0.3,-1.6,1.3,1.9,2.4,-0.5,1.6,1.73
Kyrie Irving,Naji Marshall,DAL,2024-25,40,22,18,709.1,64.0,4.33,3.4,3.9,-0.5,-0.8,-0.3,-0.5,2.6,1.73
Wendell Carter Jr.,Jalen Suggs,ORL,2023-24,50,28,22,998.2,75.0,3.61,0.9,0.5,0.4,1.0,-0.6,1.6,1.9,1.71
Fred VanVleet,Alperen Şengün,HOU,2024-25,58,41,17,1506.2,220.0,7.01,0.9,-0.4,1.3,4.4,2.6,1.8,5.3,1.71
Klay Thompson,Daniel Gafford,DAL,2024-25,49,23,26,609.1,57.0,4.49,-1.0,0.7,-1.6,3.8,2.7,1.1,2.8,1.69
Jrue Holiday,Payton Pritchard,BOS,2024-25,60,45,15,653.1,80.0,5.88,0.7,-0.3,1.0,3.5,3.4,0.2,4.2,1.68
Mike Conley,Karl-Anthony Towns,MIN,2023-24,57,40,17,1225.1,193.0,7.56,3.4,2.0,1.4,2.5,1.6,0.9,5.9,1.66
Kyle Anderson,Nickeil Alexander-Walker,MIN,2023-24,79,55,24,1011.1,62.0,2.94,1.1,-1.6,2.7,0.2,-1.1,1.3,1.3,1.64
Shai Gilgeous-Alexander,Jalen Williams,OKC,2023-24,60,44,16,571.4,154.0,12.94,9.0,6.7,2.3,2.3,2.0,0.3,11.3,1.64
Shai Gilgeous-Alexander,Cason Wallace,OKC,2024-25,67,55,12,1334.2,393.0,14.14,11.5,8.9,2.6,1.0,-1.5,2.6,12.5,1.64
Deni Avdija,Donovan Clingan,POR,2024-25,55,23,32,740.0,53.0,3.44,2.1,1.5,0.6,-0.3,-1.7,1.4,1.8,1.64
Fred VanVleet,Jalen Green,HOU,2024-25,60,41,19,1520.8,96.0,3.03,0.9,-0.4,1.3,0.5,1.1,-0.5,1.4,1.63
Moritz Wagner,Cole Anthony,ORL,2023-24,79,46,33,1174.9,91.0,3.72,2.0,1.7,0.3,0.1,-0.6,0.7,2.1,1.62
Zion Williamson,Dyson Daniels,NOP,2023-24,50,28,22,575.4,72.0,6.01,3.8,3.3,0.6,0.6,-1.9,2.5,4.4,1.61
Kevin Huerter,Keegan Murray,SAC,2024-25,41,20,21,561.7,-27.0,-2.31,-2.3,-2.3,0.0,-1.6,-0.8,-0.8,-3.9,1.59
D'Angelo Russell,Cam Reddish,LAL,2023-24,42,23,19,530.0,-8.0,-0.72,0.9,1.7,-0.8,-3.2,-4.0,0.8,-2.3,1.58
Onyeka Okongwu,Zaccharie Risacher,ATL,2024-25,65,31,34,982.7,-13.0,-0.63,1.3,1.2,0.2,-3.5,-1.7,-1.8,-2.2,1.57
Ja Morant,Desmond Bane,MEM,2024-25,44,25,19,883.9,132.0,7.17,2.4,3.1,-0.7,3.2,2.6,0.6,5.6,1.57
Karl-Anthony Towns,Josh Hart,NYK,2024-25,68,44,24,2019.3,335.0,7.96,3.6,3.5,0.1,2.8,1.1,1.8,6.4,1.56
Devin Booker,Grayson Allen,PHX,2023-24,61,39,22,1701.9,207.0,5.84,3.0,4.0,-1.0,1.3,1.1,0.1,4.3,1.54
Tobias Harris,Paul Reed,PHI,2023-24,67,39,28,834.9,49.0,2.82,0.9,1.0,-0.1,0.4,-0.6,1.0,1.3,1.52
Trae Young,Zaccharie Risacher,ATL,2024-25,70,35,35,1288.5,-40.0,-1.49,0.5,3.3,-2.7,-3.5,-1.7,-1.8,-3.0,1.51
Jrue Holiday,Jayson Tatum,BOS,2023-24,65,50,15,1865.2,338.0,8.7,2.1,1.0,1.1,5.1,4.5,0.6,7.2,1.5
Kyrie Irving,Klay Thompson,DAL,2024-25,45,24,21,997.7,81.0,3.9,3.4,3.9,-0.5,-1.0,0.7,-1.6,2.4,1.5
Trae Young,Onyeka Okongwu,ATL,2024-25,70,32,38,1406.0,96.0,3.28,0.5,3.3,-2.7,1.3,1.2,0.2,1.8,1.48
OG Anunoby,Scottie Barnes,TOR,2023-24,27,11,16,672.6,50.0,3.57,-1.6,-0.8,-0.7,3.7,2.9,0.8,2.1,1.47
Jordan Clarkson,Keyonte George,UTA,2023-24,52,20,32,1005.0,-156.0,-7.45,-4.5,-1.3,-3.2,-4.4,-1.5,-2.9,-8.9,1.45
Franz Wagner,Jalen Suggs,ORL,2024-25,25,16,9,525.0,54.0,4.94,3.1,2.6,0.5,0.4,-0.8,1.3,3.5,1.44
Kyle Anderson,Karl-Anthony Towns,MIN,2023-24,60,41,19,706.9,74.0,5.02,1.1,-1.6,2.7,2.5,1.6,0.9,3.6,1.42
Harrison Barnes,Stephon Castle,SAS,2024-25,79,33,46,1214.2,-45.0,-1.78,0.0,1.7,-1.7,-3.2,-1.5,-1.7,-3.2,1.42
Josh Hart,Donte DiVincenzo,NYK,2023-24,79,49,30,1601.3,159.0,4.77,0.0,-1.3,1.4,3.4,2.5,0.9,3.4,1.37
D'Angelo Russell,Taurean Prince,LAL,2023-24,72,43,29,1320.7,-15.0,-0.55,0.9,1.7,-0.8,-2.8,-2.6,-0.2,-1.9,1.35
Stephen Curry,Jonathan Kuminga,GSW,2023-24,66,37,29,1141.5,146.0,6.14,5.2,6.3,-1.1,-0.4,0.0,-0.4,4.8,1.34
Stephen Curry,Brandin Podziemski,GSW,2023-24,62,37,25,908.7,122.0,6.44,5.2,6.3,-1.1,-0.1,-0.5,0.4,5.1,1.34
Goga Bitadze,Franz Wagner,ORL,2024-25,51,29,22,781.1,113.0,6.94,2.5,-0.3,2.8,3.1,2.6,0.5,5.6,1.34
Franz Wagner,Jalen Suggs,ORL,2023-24,65,40,25,1401.0,103.0,3.53,1.2,0.9,0.3,1.0,-0.6,1.6,2.2,1.33
Jimmy Butler,Haywood Highsmith,MIA,2023-24,48,26,22,625.4,68.0,5.22,4.6,3.9,0.7,-0.7,-1.8,1.1,3.9,1.32
Brandon Ingram,Dyson Daniels,NOP,2023-24,48,26,22,601.3,39.0,3.11,1.2,1.4,-0.3,0.6,-1.9,2.5,1.8,1.31
Jayson Tatum,Payton Pritchard,BOS,2024-25,70,51,19,1237.8,258.0,10.01,5.2,4.4,0.8,3.5,3.4,0.2,8.7,1.31
Taurean Prince,Cam Reddish,LAL,2023-24,41,22,19,519.3,-51.0,-4.71,-2.8,-2.6,-0.2,-3.2,-4.0,0.8,-6.0,1.29
Stephen Curry,Draymond Green,GSW,2024-25,60,37,23,1419.1,239.0,8.08,6.3,6.4,0.0,0.5,-2.3,2.8,6.8,1.28
Shai Gilgeous-Alexander,Luguentz Dort,OKC,2023-24,72,52,20,1815.4,328.0,8.67,9.0,6.7,2.3,-1.6,-1.4,-0.2,7.4,1.27
OG Anunoby,Jalen Brunson,NYK,2024-25,58,35,23,1797.6,197.0,5.26,0.7,0.7,0.1,3.3,4.7,-1.3,4.0,1.26
Jrue Holiday,Kristaps Porziņģis,BOS,2024-25,37,27,10,836.3,116.0,6.66,0.7,-0.3,1.0,4.7,3.5,1.2,5.4,1.26
Chris Paul,Jonathan Kuminga,GSW,2023-24,50,27,23,687.4,26.0,1.82,1.0,-0.2,1.2,-0.4,0.0,-0.4,0.6,1.22
De'Andre Hunter,Jalen Johnson,ATL,2023-24,37,18,19,624.2,0.0,0.0,-2.4,-0.9,-1.5,1.2,0.4,0.8,-1.2,1.2
Shai Gilgeous-Alexander,Josh Giddey,OKC,2023-24,73,54,19,1353.5,329.0,11.67,9.0,6.7,2.3,1.5,1.0,0.4,10.5,1.17
Corey Kispert,Kyshawn George,WAS,2024-25,60,14,46,954.2,-132.0,-6.64,-3.7,-1.4,-2.2,-4.1,-3.8,-0.3,-7.8,1.16
Desmond Bane,Zach Edey,MEM,2024-25,55,27,28,835.3,74.0,4.25,3.2,2.6,0.6,-0.1,-0.2,0.1,3.1,1.15
Naji Marshall,Max Christie,DAL,2024-25,32,13,19,672.0,-43.0,-3.07,-0.8,-0.3,-0.5,-3.4,-2.4,-1.0,-4.2,1.13
Shai Gilgeous-Alexander,Jalen Williams,OKC,2023-24,68,50,18,1396.0,361.0,12.41,9.0,6.7,2.3,2.3,2.0,0.3,11.3,1.11
Dennis Schröder,Pascal Siakam,TOR,2023-24,39,15,24,1054.3,15.0,0.68,-1.8,-0.5,-1.3,1.4,2.2,-0.8,-0.4,1.08
Josh Hart,Mikal Bridges,NYK,2024-25,77,48,29,2354.5,166.0,3.38,2.8,1.1,1.8,-0.5,0.4,-0.9,2.3,1.08
Dillon Brooks,Amen Thompson,HOU,2024-25,64,39,25,1244.7,98.0,3.78,-1.4,-1.4,0.0,4.1,1.4,2.6,2.7,1.08
Brook Lopez,Jae Crowder,MIL,2023-24,45,24,21,665.4,-8.0,-0.58,1.0,0.2,0.8,-2.6,-2.6,0.0,-1.6,1.02
Keldon Johnson,Jeremy Sochan,SAS,2024-25,50,19,31,671.4,-25.0,-1.79,-1.6,0.0,-1.6,-1.2,-0.8,-0.4,-2.8,1.01
Myles Turner,Tyrese Haliburton,IND,2023-24,65,39,26,1581.3,290.0,8.8,0.9,1.0,-0.1,6.9,7.3,-0.4,7.8,1.0
Tre Jones,Julian Champagnie,SAS,2023-24,66,17,49,957.6,-26.0,-1.3,-0.4,-0.4,0.1,-1.9,-1.8,-0.1,-2.3,1.0
Isaiah Hartenstein,Shai Gilgeous-Alexander,OKC,2024-25,57,49,8,1113.7,364.0,15.69,3.2,0.6,2.6,11.5,8.9,2.6,14.7,0.99
Mason Plumlee,Royce O'Neale,PHX,2024-25,62,27,35,588.9,6.0,0.49,-0.6,-1.5,1.0,0.1,0.2,-0.1,-0.5,0.99
Brook Lopez,Bobby Portis,MIL,2023-24,73,45,28,697.3,17.0,1.17,1.0,0.2,0.8,-0.8,0.0,-0.8,0.2,0.97
Buddy Hield,Bennedict Mathurin,IND,2023-24,47,26,21,537.3,-25.0,-2.23,0.2,1.0,-0.8,-3.4,-1.2,-2.3,-3.2,0.97
Bogdan Bogdanović,Dejounte Murray,ATL,2023-24,75,33,42,1427.9,85.0,2.86,0.2,0.9,-0.7,1.7,2.3,-0.6,1.9,0.96
Kyrie Irving,Derrick Jones Jr.,DAL,2023-24,56,38,18,947.0,86.0,4.36,4.9,4.8,0.1,-1.5,-1.3,-0.3,3.4,0.96
Jordan Clarkson,Ochai Agbaji,UTA,2023-24,37,17,20,527.4,-72.0,-6.55,-4.5,-1.3,-3.2,-3.0,-2.5,-0.5,-7.5,0.95
Kentavious Caldwell-Pope,Nikola Jokić,DEN,2023-24,73,52,21,2187.0,580.0,12.73,-1.4,-2.1,0.7,13.2,9.0,4.2,11.8,0.93
Jonas Valančiūnas,Brandon Ingram,NOP,2023-24,64,38,26,1254.7,87.0,3.33,1.2,0.7,0.5,1.2,1.4,-0.3,2.4,0.93
Zach LaVine,Coby White,CHI,2024-25,35,14,21,766.8,26.0,1.63,1.6,2.7,-1.0,-0.9,0.5,-1.4,0.7,0.93
Pascal Siakam,Ben Sheppard,IND,2024-25,61,38,23,721.3,9.0,0.6,1.7,2.2,-0.5,-2.0,-2.2,0.2,-0.3,0.9
Paul George,Amir Coffey,LAC,2023-24,52,37,15,557.4,22.0,1.89,3.2,2.9,0.2,-2.2,-1.9,-0.3,1.0,0.89
Bogdan Bogdanović,Trae Young,ATL,2023-24,52,21,31,913.8,70.0,3.68,0.2,0.9,-0.7,2.6,4.9,-2.3,2.8,0.88
Keon Johnson,Jalen Wilson,BKN,2024-25,71,21,50,857.1,-113.0,-6.33,-3.3,-3.1,-0.1,-3.9,-2.6,-1.3,-7.2,0.87
Rudy Gobert,Donte DiVincenzo,MIN,2024-25,56,33,23,844.1,82.0,4.66,1.9,0.6,1.3,1.9,0.8,1.1,3.8,0.86
Wendell Carter Jr.,Anthony Black,ORL,2024-25,63,29,34,578.8,-27.0,-2.24,-1.2,-2.2,0.9,-1.9,-3.1,1.2,-3.1,0.86
Kevin Durant,Mason Plumlee,PHX,2024-25,55,30,25,668.0,48.0,3.45,3.2,3.9,-0.7,-0.6,-1.5,1.0,2.6,0.85
Harrison Barnes,De'Aaron Fox,SAC,2023-24,74,42,32,1777.4,64.0,1.73,-1.8,-0.6,-1.2,2.7,2.6,0.1,0.9,0.83
Donovan Mitchell,Isaac Okoro,CLE,2023-24,47,33,14,851.9,98.0,5.52,5.8,4.6,1.2,-1.1,-1.8,0.7,4.7,0.82
Russell Westbrook,Michael Porter Jr.,DEN,2024-25,73,43,30,1393.2,-11.0,-0.38,-1.1,-0.9,-0.2,-0.1,1.6,-1.7,-1.2,0.82
Tobias Harris,Kelly Oubre Jr.,PHI,2023-24,56,34,22,1143.0,-14.0,-0.59,0.9,1.0,-0.1,-2.3,-1.5,-0.7,-1.4,0.81
Kyrie Irving,Luka Dončić,DAL,2024-25,20,12,8,500.9,116.0,11.11,3.4,3.9,-0.5,6.9,5.5,1.4,10.3,0.81
Julian Champagnie,Jeremy Sochan,SAS,2023-24,60,14,46,810.6,-76.0,-4.5,-1.9,-1.8,-0.1,-3.4,-2.8,-0.6,-5.3,0.8
De'Aaron Fox,Keon Ellis,SAC,2023-24,40,24,16,531.5,52.0,4.7,2.7,2.6,0.1,1.2,-0.9,2.1,3.9,0.8
Kelly Oubre Jr.,Paul Reed,PHI,2023-24,67,39,28,818.3,-19.0,-1.11,-2.3,-1.5,-0.7,0.4,-0.6,1.0,-1.9,0.79
Tobias Harris,Jaden Ivey,DET,2024-25,29,14,15,650.7,12.0,0.89,0.1,-0.5,0.6,0.0,0.8,-0.8,0.1,0.79
Russell Westbrook,Kawhi Leonard,LAC,2023-24,57,38,19,814.7,115.0,6.78,0.5,-0.2,0.7,5.5,4.8,0.6,6.0,0.78
Joe Ingles,Paolo Banchero,ORL,2023-24,64,40,24,515.0,17.0,1.58,-0.5,-1.7,1.2,1.3,1.3,0.0,0.8,0.78
Brook Lopez,Giannis Antetokounmpo,MIL,2023-24,70,44,26,1501.5,337.0,10.77,1.0,0.2,0.8,9.0,6.7,2.4,10.0,0.77
Jabari Walker,Kris Murray,POR,2023-24,45,7,38,561.7,-72.0,-6.15,-3.3,-2.4,-0.9,-3.6,-3.5,-0.2,-6.9,0.75
Larry Nance Jr.,Brandon Ingram,NOP,2023-24,44,25,19,546.7,45.0,3.95,2.0,-0.2,2.2,1.2,1.4,-0.3,3.2,0.75
De'Aaron Fox,Keegan Murray,SAC,2024-25,42,19,23,1244.1,9.0,0.35,1.2,2.0,-0.8,-1.6,-0.8,-0.8,-0.4,0.75
James Harden,Amir Coffey,LAC,2023-24,54,37,17,744.9,41.0,2.64,4.1,3.8,0.3,-2.2,-1.9,-0.3,1.9,0.74
Caris LeVert,Jarrett Allen,CLE,2023-24,64,36,28,1074.0,88.0,3.93,0.2,-0.6,0.8,3.0,2.1,0.9,3.2,0.73
Jaren Jackson Jr.,Vince Williams Jr.,MEM,2023-24,41,15,26,866.8,7.0,0.39,0.4,0.0,0.4,-0.7,-1.7,1.0,-0.3,0.69
Lauri Markkanen,Keyonte George,UTA,2023-24,51,20,31,789.0,-2.0,-0.12,3.6,5.1,-1.5,-4.4,-1.5,-2.9,-0.8,0.68
Tim Hardaway Jr.,Cade Cunningham,DET,2024-25,66,36,30,1609.6,83.0,2.48,-2.1,-1.1,-0.9,3.9,3.8,0.1,1.8,0.68
Devin Vassell,Jeremy Sochan,SAS,2024-25,46,18,28,769.9,-26.0,-1.62,-1.1,-0.3,-0.8,-1.2,-0.8,-0.4,-2.3,0.68
Tari Eason,Amen Thompson,HOU,2024-25,49,29,20,879.2,153.0,8.35,3.6,1.0,2.6,4.1,1.4,2.6,7.7,0.65
Franz Wagner,Anthony Black,ORL,2024-25,60,33,27,830.7,32.0,1.85,3.1,2.6,0.5,-1.9,-3.1,1.2,1.2,0.65
Tobias Harris,Joel Embiid,PHI,2023-24,36,29,7,947.2,259.0,13.13,0.9,1.0,-0.1,11.6,8.5,3.1,12.5,0.63
Taurean Prince,Gary Trent Jr.,MIL,2024-25,71,41,30,791.1,-44.0,-2.67,-1.7,-2.0,0.3,-1.6,-1.2,-0.4,-3.3,0.63
Malik Beasley,Ausar Thompson,DET,2024-25,58,33,25,506.7,33.0,3.13,0.8,2.0,-1.2,1.7,-0.8,2.5,2.5,0.63
P.J. Washington,Luka Dončić,DAL,2023-24,26,20,6,715.9,139.0,9.32,-1.2,-1.8,0.7,9.9,8.3,1.7,8.7,0.62
Spencer Dinwiddie,Quentin Grimes,DAL,2024-25,45,24,21,526.0,-14.0,-1.28,-1.6,-0.9,-0.7,-0.3,0.1,-0.4,-1.9,0.62
Aaron Wiggins,Jalen Williams,OKC,2023-24,62,44,18,571.8,43.0,3.61,0.7,0.4,0.4,2.3,2.0,0.3,3.0,0.61
Dorian Finney-Smith,Mikal Bridges,BKN,2023-24,68,28,40,1600.1,-60.0,-1.8,-2.0,-2.0,-0.1,-0.4,0.7,-1.0,-2.4,0.6
Nicolas Batum,James Harden,LAC,2024-25,75,47,28,808.1,96.0,5.7,0.8,-1.2,2.0,4.3,3.5,0.8,5.1,0.6
Eric Gordon,Josh Okogie,PHX,2023-24,45,27,18,500.7,-17.0,-1.63,-1.7,-1.3,-0.5,-0.5,-1.3,0.8,-2.2,0.57
Spencer Dinwiddie,Cameron Johnson,BKN,2023-24,40,15,25,859.7,-17.0,-0.95,-1.9,-1.3,-0.6,0.4,0.9,-0.5,-1.5,0.55
Andrew Wiggins,Jonathan Kuminga,GSW,2023-24,62,32,30,674.0,-33.0,-2.35,-2.5,-1.4,-1.2,-0.4,0.0,-0.4,-2.9,0.55
Kyle Anderson,Jaden McDaniels,MIN,2023-24,64,43,21,554.0,-11.0,-0.95,1.1,-1.6,2.7,-2.6,-3.3,0.7,-1.5,0.55
Rudy Gobert,Kyle Anderson,MIN,2023-24,71,52,19,866.7,62.0,3.43,1.8,0.1,1.7,1.1,-1.6,2.7,2.9,0.53
Malcolm Brogdon,Toumani Camara,POR,2023-24,37,15,22,509.3,-6.0,-0.57,2.0,2.7,-0.7,-3.1,-3.1,0.0,-1.1,0.53
Scottie Barnes,Ja'Kobe Walter,TOR,2024-25,43,17,26,568.2,-1.0,-0.08,2.4,1.5,0.9,-3.0,-2.3,-0.6,-0.6,0.52
Kristaps Porziņģis,Jayson Tatum,BOS,2023-24,52,39,13,1272.8,284.0,10.71,5.1,3.5,1.6,5.1,4.5,0.6,10.2,0.51
Bam Adebayo,Haywood Highsmith,MIA,2024-25,69,33,36,1256.6,16.0,0.61,2.0,1.0,1.0,-1.9,-2.7,0.9,0.1,0.51
Jalen Johnson,Zaccharie Risacher,ATL,2024-25,32,17,15,566.3,-14.0,-1.19,1.8,0.5,1.4,-3.5,-1.7,-1.8,-1.7,0.51
Jalen Williams,Cason Wallace,OKC,2023-24,71,51,20,763.2,46.0,2.89,2.3,2.0,0.3,0.1,-0.9,1.0,2.4,0.49
Chris Paul,Harrison Barnes,SAS,2024-25,82,34,48,1629.4,43.0,1.27,0.8,0.3,0.5,0.0,1.7,-1.7,0.8,0.47
Tim Hardaway Jr.,Jalen Duren,DET,2024-25,73,40,33,1531.2,47.0,1.47,-2.1,-1.1,-0.9,3.1,1.6,1.5,1.0,0.47
Josh Giddey,Cason Wallace,OKC,2023-24,76,54,22,633.6,27.0,2.05,1.5,1.0,0.4,0.1,-0.9,1.0,1.6,0.45
Harrison Barnes,Keldon Johnson,SAS,2024-25,74,30,44,585.3,-14.0,-1.15,0.0,1.7,-1.7,-1.6,0.0,-1.6,-1.6,0.45
Myles Turner,Pascal Siakam,IND,2023-24,37,21,16,839.1,67.0,3.83,0.9,1.0,-0.1,2.5,3.0,-0.5,3.4,0.43
T.J. McConnell,Obi Toppin,IND,2023-24,65,37,28,764.8,78.0,4.9,3.0,2.9,0.1,1.5,1.8,-0.3,4.5,0.4
Tre Jones,Victor Wembanyama,SAS,2023-24,66,18,48,1288.0,139.0,5.18,-0.4,-0.4,0.1,5.2,1.9,3.3,4.8,0.38
DeMar DeRozan,Patrick Williams,CHI,2023-24,41,18,23,805.8,-2.0,-0.12,1.8,2.1,-0.3,-2.3,-2.1,-0.1,-0.5,0.38
