player_a,player_b,team,season,gp,w,l,shared_min,pair_pm,pair_pm_per48,a_bpm,a_obpm,a_dbpm,b_bpm,b_obpm,b_dbpm,expected,chemistry
Donovan Mitchell,Jarrett Allen,CLE,2024-25,71,55,16,1217.6,285.0,11.24,3.7,3.8,-0.2,4.2,3.0,1.2,7.9,3.34
Draymond Green,Andrew Wiggins,GSW,2024-25,30,15,15,661.5,66.0,4.79,0.5,-2.3,2.8,1.0,1.4,-0.4,1.5,3.29
Kevin Huerter,Keegan Murray,SAC,2023-24,59,34,25,1062.6,35.0,1.58,-0.8,-0.5,-0.4,-0.9,-0.4,-0.5,-1.7,3.28
Reggie Jackson,Christian Braun,DEN,2023-24,82,57,25,947.2,-36.0,-1.82,-3.2,-1.8,-1.5,-1.9,-1.7,-0.2,-5.1,3.28
Jalen Green,Amen Thompson,HOU,2023-24,56,28,28,745.2,71.0,4.57,-0.5,0.4,-0.9,1.8,-0.1,1.9,1.3,3.27
Georges Niang,Evan Mobley,CLE,2023-24,50,29,21,545.1,37.0,3.26,-2.9,-2.5,-0.4,2.9,0.9,2.0,0.0,3.26
Karl-Anthony Towns,Nickeil Alexander-Walker,MIN,2023-24,62,42,20,895.5,111.0,5.95,2.5,1.6,0.9,0.2,-1.1,1.3,2.7,3.25
Chris Paul,Moses Moody,GSW,2023-24,48,27,21,520.8,45.0,4.15,1.0,-0.2,1.2,-0.1,-0.2,0.1,0.9,3.25
Dario Šarić,Brandin Podziemski,GSW,2023-24,52,28,24,568.8,49.0,4.13,1.0,0.6,0.4,-0.1,-0.5,0.4,0.9,3.23
Jalen Suggs,Anthony Black,ORL,2023-24,45,24,21,512.1,13.0,1.22,1.0,-0.6,1.6,-3.0,-3.8,0.8,-2.0,3.22
Georges Niang,Isaac Okoro,CLE,2023-24,69,41,28,845.1,-14.0,-0.8,-2.9,-2.5,-0.4,-1.1,-1.8,0.7,-4.0,3.2
Josh Hart,Miles McBride,NYK,2024-25,59,36,23,895.5,112.0,6.0,2.8,1.1,1.8,0.0,-0.4,0.4,2.8,3.2
Dillon Brooks,Jalen Green,HOU,2023-24,72,36,36,1736.8,-33.0,-0.91,-3.6,-3.3,-0.3,-0.5,0.4,-0.9,-4.1,3.19
De'Aaron Fox,Keon Ellis,SAC,2024-25,42,20,22,519.3,68.0,6.28,1.2,2.0,-0.8,1.9,-0.1,2.0,3.1,3.18
Lauri Markkanen,Simone Fontecchio,UTA,2023-24,37,19,18,686.8,74.0,5.17,3.6,5.1,-1.5,-1.6,-0.4,-1.2,2.0,3.17
Moritz Wagner,Franz Wagner,ORL,2023-24,70,43,27,672.1,89.0,6.36,2.0,1.7,0.3,1.2,0.9,0.3,3.2,3.16
Luke Kennard,Jaylen Wells,MEM,2024-25,58,36,22,607.1,26.0,2.06,1.1,0.9,0.2,-2.2,-1.2,-1.0,-1.1,3.16
Austin Reaves,Max Christie,LAL,2024-25,39,23,16,767.2,52.0,3.25,1.9,2.4,-0.5,-1.8,-1.8,0.0,0.1,3.15
Jakob Poeltl,Gary Trent Jr.,TOR,2023-24,46,20,26,657.1,17.0,1.24,0.7,-0.3,1.0,-2.6,-1.2,-1.4,-1.9,3.14
Jayson Tatum,Derrick White,BOS,2023-24,67,53,14,1696.4,424.0,12.0,5.1,4.5,0.6,3.8,2.4,1.4,8.9,3.1
Shai Gilgeous-Alexander,Luguentz Dort,OKC,2024-25,70,57,13,1835.3,566.0,14.8,11.5,8.9,2.6,0.2,-0.6,0.8,11.7,3.1
Wendell Carter Jr.,Franz Wagner,ORL,2024-25,47,24,23,931.9,97.0,5.0,-1.2,-2.2,0.9,3.1,2.6,0.5,1.9,3.1
Goga Bitadze,Anthony Black,ORL,2024-25,60,32,28,599.2,46.0,3.68,2.5,-0.3,2.8,-1.9,-3.1,1.2,0.6,3.08
Brandon Clarke,Desmond Bane,MEM,2024-25,55,32,23,699.0,103.0,7.07,0.8,0.0,0.8,3.2,2.6,0.6,4.0,3.07
Reggie Jackson,Peyton Watson,DEN,2023-24,80,56,24,901.8,-44.0,-2.34,-3.2,-1.8,-1.5,-2.2,-3.0,0.8,-5.4,3.06
Paul George,Ivica Zubac,LAC,2023-24,64,40,24,1492.3,219.0,7.04,3.2,2.9,0.2,0.8,0.8,0.0,4.0,3.04
Caleb Martin,Duncan Robinson,MIA,2023-24,49,28,21,724.2,2.0,0.13,-2.0,-2.2,0.2,-0.9,-0.5,-0.4,-2.9,3.03
Mike Conley,Rudy Gobert,MIN,2023-24,71,50,21,1805.3,309.0,8.22,3.4,2.0,1.4,1.8,0.1,1.7,5.2,3.02
Keegan Murray,Keon Ellis,SAC,2024-25,72,35,37,1069.0,74.0,3.32,-1.6,-0.8,-0.8,1.9,-0.1,2.0,0.3,3.02
Santi Aldama,Jaylen Wells,MEM,2024-25,63,38,25,739.6,62.0,4.02,3.2,2.5,0.7,-2.2,-1.2,-1.0,1.0,3.02
Kawhi Leonard,Terance Mann,LAC,2023-24,61,40,21,1274.6,186.0,7.0,5.5,4.8,0.6,-1.5,-0.8,-0.7,4.0,3.0
Russell Westbrook,Norman Powell,LAC,2023-24,67,44,23,1066.7,60.0,2.7,0.5,-0.2,0.7,-0.8,0.4,-1.2,-0.3,3.0
Klay Thompson,Draymond Green,GSW,2023-24,51,29,22,883.8,92.0,5.0,-0.4,1.1,-1.5,2.4,-0.6,3.0,2.0,3.0
Darius Garland,Evan Mobley,CLE,2023-24,43,26,17,1069.1,109.0,4.89,-1.0,0.2,-1.2,2.9,0.9,2.0,1.9,2.99
Wendell Carter Jr.,Franz Wagner,ORL,2023-24,49,29,20,1058.3,112.0,5.08,0.9,0.5,0.4,1.2,0.9,0.3,2.1,2.98
Russell Westbrook,Jamal Murray,DEN,2024-25,61,35,26,1059.2,59.0,2.67,-1.1,-0.9,-0.2,0.8,1.8,-1.0,-0.3,2.97
Alperen Şengün,Tari Eason,HOU,2024-25,53,36,17,748.2,171.0,10.97,4.4,2.6,1.8,3.6,1.0,2.6,8.0,2.97
Dorian Finney-Smith,Cameron Johnson,BKN,2023-24,50,17,33,742.7,21.0,1.36,-2.0,-2.0,-0.1,0.4,0.9,-0.5,-1.6,2.96
Amir Coffey,Kevin Porter Jr.,LAC,2024-25,44,24,20,581.0,-15.0,-1.24,-1.7,-1.5,-0.2,-2.5,-3.2,0.7,-4.2,2.96
CJ McCollum,Herbert Jones,NOP,2024-25,20,5,15,515.1,-22.0,-2.05,-1.4,1.2,-2.6,-3.6,-3.9,0.2,-5.0,2.95
Pascal Siakam,Andrew Nembhard,IND,2023-24,40,23,17,962.4,65.0,3.24,2.5,3.0,-0.5,-2.2,-1.6,-0.5,0.3,2.94
Naz Reid,Jaden McDaniels,MIN,2023-24,68,45,23,806.7,31.0,1.84,1.5,0.4,1.1,-2.6,-3.3,0.7,-1.1,2.94
Darius Garland,Isaac Okoro,CLE,2023-24,44,24,20,804.7,14.0,0.84,-1.0,0.2,-1.2,-1.1,-1.8,0.7,-2.1,2.94
Jaylen Brown,Jayson Tatum,BOS,2024-25,56,40,16,1409.6,239.0,8.14,0.0,0.4,-0.4,5.2,4.4,0.8,5.2,2.94
Jalen Williams,Cason Wallace,OKC,2024-25,61,48,13,1178.2,195.0,7.94,4.0,2.7,1.4,1.0,-1.5,2.6,5.0,2.94
Russell Westbrook,Daniel Theis,LAC,2023-24,43,31,12,521.4,21.0,1.93,0.5,-0.2,0.7,-1.5,-1.6,0.1,-1.0,2.93
Michael Porter Jr.,Peyton Watson,DEN,2024-25,66,39,27,895.0,19.0,1.02,-0.1,1.6,-1.7,-1.8,-2.1,0.3,-1.9,2.92
Kawhi Leonard,Ivica Zubac,LAC,2023-24,56,35,21,1303.0,250.0,9.21,5.5,4.8,0.6,0.8,0.8,0.0,6.3,2.91
Malik Beasley,Isaiah Stewart,DET,2024-25,72,38,34,1060.3,95.0,4.3,0.8,2.0,-1.2,0.6,-1.6,2.1,1.4,2.9
Gabe Vincent,Dalton Knecht,LAL,2024-25,61,37,24,514.0,-31.0,-2.9,-4.0,-3.8,-0.1,-1.8,-0.1,-1.7,-5.8,2.9
