PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
Onyeka Okongwu,ATL,74,2064,1.3,1.2,0.2,1.7
Malik Monk,SAC,65,2054,-0.8,0.3,-1.1,0.6
Jaylen Wells,MEM,79,2043,-2.2,-1.2,-1.0,-0.1
Jalen Duren,DET,78,2034,3.1,1.6,1.5,2.7
Jalen Wilson,BRK,79,2031,-3.9,-2.6,-1.3,-1.0
Miles Bridges,CHO,64,2029,1.8,2.3,-0.5,2.0
Davion Mitchell,2TM,74,2027,-2.6,-2.8,0.2,-0.3
Davion Mitchell,TOR,44,1080,-4.3,-4.0,-0.3,-0.6
Davion Mitchell,MIA,30,947,-0.6,-1.5,0.8,0.3
Franz Wagner,ORL,60,2023,3.1,2.6,0.5,2.6
Quentin Grimes,2TM,75,2013,0.4,1.3,-0.9,1.2
Quentin Grimes,DAL,47,1070,-0.3,0.1,-0.4,0.5
Quentin Grimes,PHI,28,943,1.2,2.7,-1.5,0.8
Jordan Poole,WAS,68,2001,0.4,2.0,-1.6,1.2
Draymond Green,GSW,68,1983,0.5,-2.3,2.8,1.3
Devin Vassell,SAS,64,1983,-1.1,-0.3,-0.8,0.4
Klay Thompson,DAL,72,1965,-1.0,0.7,-1.6,0.5
Tyrese Maxey,PHI,52,1960,2.0,3.2,-1.1,2.0
Norman Powell,LAC,60,1958,1.5,1.7,-0.2,1.8
Yves Missi,NOP,73,1956,-3.0,-1.6,-1.4,-0.5
Keon Ellis,SAC,80,1948,1.9,-0.1,2.0,1.9
Bilal Coulibaly,WAS,59,1948,-3.7,-3.0,-0.7,-0.8
Kyle Kuzma,2TM,65,1936,-4.9,-2.9,-2.0,-1.4
Kyle Kuzma,WAS,32,887,-5.2,-3.0,-2.3,-0.7
Kyle Kuzma,MIL,33,1049,-4.7,-2.9,-1.8,-0.7
Julian Champagnie,SAS,82,1932,-1.3,-0.3,-0.9,0.4
Keon Johnson,BRK,79,1925,-3.3,-3.1,-0.1,-0.6
Naji Marshall,DAL,69,1919,-0.8,-0.3,-0.5,0.6
Jrue Holiday,BOS,62,1896,0.7,-0.3,1.0,1.3
Guerschon Yabusele,PHI,70,1895,-1.0,0.1,-1.1,0.5
Gary Trent Jr.,MIL,74,1893,-1.6,-1.2,-0.4,0.2
Anthony Black,ORL,78,1887,-1.9,-3.1,1.2,0.0
Josh Green,CHO,68,1887,-4.3,-4.5,0.2,-1.1
Nic Claxton,BRK,70,1882,0.4,-1.1,1.5,1.1
Andrew Nembhard,IND,65,1881,-2.3,-2.6,0.3,-0.1
Cason Wallace,OKC,68,1876,1.0,-1.5,2.6,1.5
Derrick Jones Jr.,LAC,77,1873,-0.3,-1.0,0.7,0.8
Rui Hachimura,LAL,59,1869,-0.7,-0.1,-0.6,0.6
RJ Barrett,TOR,58,1869,0.6,1.2,-0.7,1.2
Buddy Hield,GSW,82,1863,-1.0,-0.7,-0.3,0.5
Trey Murphy III,NOP,53,1854,0.8,2.1,-1.4,1.3
Zaccharie Risacher,ATL,75,1843,-3.5,-1.7,-1.8,-0.7
Andrew Wiggins,2TM,60,1842,0.9,1.2,-0.3,1.4
Andrew Wiggins,GSW,43,1296,1.0,1.4,-0.4,1.0
Andrew Wiggins,MIA,17,546,0.7,0.8,-0.1,0.4
Isaiah Collier,UTA,71,1839,-5.3,-3.8,-1.5,-1.6
Keldon Johnson,SAS,77,1838,-1.6,0.0,-1.6,0.2
Royce O'Neale,PHO,75,1837,0.1,0.2,-0.1,1.0
P.J. Washington,DAL,57,1835,-0.9,-1.1,0.2,0.5
CJ McCollum,NOP,56,1832,-1.4,1.2,-2.6,0.3
Haywood Highsmith,MIA,74,1818,-1.9,-2.7,0.9,0.1
Dorian Finney-Smith,2TM,63,1818,-1.0,-1.1,0.1,0.5
Dorian Finney-Smith,BRK,20,579,0.0,-0.1,0.1,0.3
Dorian Finney-Smith,LAL,43,1239,-1.5,-1.6,0.1,0.2
Alex Sarr,WAS,67,1814,-3.3,-2.2,-1.0,-0.6
Kyrie Irving,DAL,50,1804,3.4,3.9,-0.5,2.5
Kyshawn George,WAS,68,1802,-4.1,-3.8,-0.3,-0.9
Cameron Johnson,BRK,57,1800,3.1,3.5,-0.4,2.3
Duncan Robinson,MIA,74,1785,-1.7,-0.7,-1.1,0.1
Kris Dunn,LAC,74,1783,0.6,-2.8,3.4,1.2
Luka Dončić,2TM,50,1769,6.7,5.5,1.2,3.9
Luka Dončić,DAL,22,785,6.9,5.5,1.4,1.8
Luka Dončić,LAL,28,984,6.5,5.5,1.1,2.1
Scoot Henderson,POR,66,1759,-2.2,-1.4,-0.8,-0.1
Wendell Carter Jr.,ORL,68,1758,-1.2,-2.2,0.9,0.3
Collin Sexton,UTA,63,1758,-0.6,1.7,-2.3,0.6
Mike Conley,MIN,71,1756,1.2,-0.1,1.3,1.4
Amir Coffey,LAC,72,1748,-1.7,-1.5,-0.2,0.1
Jimmy Butler,2TM,55,1746,4.9,4.0,1.0,3.0
Jimmy Butler,MIA,25,766,4.8,4.2,0.6,1.3
Jimmy Butler,GSW,30,980,5.0,3.8,1.2,1.7
Aaron Wiggins,OKC,76,1744,1.1,1.3,-0.2,1.4
