PLAYER_NAME,TEAM,AGE,GP,MIN,NET_RATING,OFF_RATING,DEF_RATING,USG_PCT,TS_PCT,AST_PCT,PIE,PACE,POSS,SEASON
"Jaylen Wells",MEM,21,79,25.9,4.7,116.7,111.9,0.156,0.56,0.082,0.065,104.64,4444,2024-25
"Jaylin Williams",OKC,23,47,16.7,17.9,121,103,0.141,0.594,0.19,0.124,102.7,1678,2024-25
"Jaylon Tyson",CLE,22,47,9.6,-0.4,108.4,108.8,0.164,0.523,0.135,0.075,101.31,957,2024-25
"Jayson Tatum",BOS,27,72,36.4,9.8,119.6,109.8,0.301,0.582,0.266,0.158,98.14,5368,2024-25
"Jazian Gortman",DAL,22,16,3.5,4.6,103.8,99.2,0.195,0.485,0.154,0.031,109.79,132,2024-25
"Jeff Dowtin Jr.",PHI,28,41,15.1,-9.2,107.6,116.7,0.176,0.57,0.196,0.106,99.32,1291,2024-25
"Jeff Green",HOU,38,32,12.4,-3.9,112.2,116.1,0.144,0.649,0.068,0.085,100.43,827,2024-25
"Jerami Grant",POR,31,47,32.4,-6.1,107.4,113.4,0.192,0.523,0.099,0.07,100.41,3183,2024-25
"Jeremiah Robinson-Earl",NOP,24,66,18.8,-11.8,107.2,119,0.14,0.563,0.101,0.087,100.95,2595,2024-25
"Jeremy Sochan",SAS,22,54,25.3,-2.7,111.9,114.5,0.184,0.589,0.138,0.101,101.53,2880,2024-25
"Jericho Sims",MIL,26,53,11.9,2.4,111.5,109.1,0.074,0.639,0.068,0.07,98.7,1295,2024-25
"Jesse Edwards",MIN,25,2,2.3,-77.3,72.7,150,0,0,0.25,-0.043,118.29,11,2024-25
"Jett Howard",ORL,21,60,11.7,-5.7,103,108.7,0.181,0.491,0.102,0.045,99.92,1458,2024-25
"Jevon Carter",CHI,29,36,8.9,3.3,114.8,111.5,0.2,0.509,0.166,0.082,106.46,717,2024-25
"Jimmy Butler III",GSW,35,55,31.7,6.3,115.9,109.6,0.203,0.626,0.26,0.145,98.95,3608,2024-25
"Jock Landale",HOU,29,42,11.9,-2.1,110.5,112.6,0.148,0.59,0.102,0.097,103.58,1078,2024-25
"Joe Ingles",MIN,37,19,6,-4.2,108.9,113.1,0.113,0.326,0.261,0.025,102.03,248,2024-25
"Joel Embiid",PHI,31,19,30.2,-5.5,104,109.5,0.342,0.58,0.286,0.169,99.95,1200,2024-25
"John Collins",UTA,27,40,30.5,-0.9,112.4,113.3,0.234,0.628,0.105,0.129,101.72,2590,2024-25
"John Konchar",MEM,29,46,12.1,5.4,113.2,107.8,0.077,0.592,0.095,0.094,105.46,1223,2024-25
"Johnny Davis",WAS,23,34,7.1,-2.5,104.7,107.2,0.15,0.473,0.064,0.067,106.66,531,2024-25
"Johnny Furphy",IND,20,50,7.6,0.6,106.1,105.4,0.118,0.506,0.063,0.059,105.49,842,2024-25
"Johnny Juzang",UTA,24,64,19.8,-13.1,107.2,120.3,0.174,0.573,0.08,0.071,102.1,2700,2024-25
"Jonas Valančiūnas",SAC,33,81,18.8,-9.6,109.2,118.8,0.222,0.602,0.171,0.147,101.28,3217,2024-25
