PLAYER_NAME,TEAM,GP,MP,BPM,OBPM,DBPM,VORP
DeMar DeRozan,CHI,79,2989,1.8,2.1,-0.3,2.8
Domantas Sabonis,SAC,82,2928,6.5,4.0,2.4,6.2
Coby White,CHI,79,2881,-0.7,0.7,-1.3,0.9
Mikal Bridges,BRK,82,2854,-0.4,0.7,-1.0,1.2
Paolo Banchero,ORL,80,2799,1.3,1.3,0.0,2.3
Kevin Durant,PHO,75,2791,4.0,4.0,0.1,4.3
Dejounte Murray,ATL,78,2783,1.7,2.3,-0.6,2.6
Anthony Edwards,MIN,79,2770,3.3,2.7,0.5,3.7
Nikola Jokić,DEN,79,2737,13.2,9.0,4.2,10.6
Jalen Brunson,NYK,77,2726,5.8,6.3,-0.4,5.4
Josh Hart,NYK,81,2707,0.0,-1.3,1.4,1.4
Anthony Davis,LAL,76,2700,5.1,3.5,1.7,4.9
Fred VanVleet,HOU,73,2684,3.4,2.6,0.8,3.6
De'Aaron Fox,SAC,74,2659,2.7,2.6,0.1,3.2
Pascal Siakam,2TM,80,2657,1.9,2.6,-0.7,2.7
Pascal Siakam,TOR,39,1354,1.4,2.2,-0.8,1.2
Pascal Siakam,IND,41,1303,2.5,3.0,-0.5,1.5
Jayson Tatum,BOS,74,2645,5.1,4.5,0.6,4.7
Austin Reaves,LAL,82,2629,0.4,0.9,-0.4,1.6
Tyrese Maxey,PHI,70,2626,3.1,4.1,-1.0,3.4
Luka Dončić,DAL,70,2624,9.9,8.3,1.7,8.0
Nikola Vučević,CHI,76,2610,0.1,0.8,-0.7,1.4
Jalen Green,HOU,82,2601,-0.5,0.4,-0.9,1.0
Rudy Gobert,MIN,76,2593,1.8,0.1,1.7,2.5
Keegan Murray,SAC,77,2588,-0.9,-0.4,-0.5,0.8
Miles Bridges,CHO,69,2581,-1.1,0.2,-1.3,0.6
Damian Lillard,MIL,73,2579,2.1,3.4,-1.3,2.7
Giannis Antetokounmpo,MIL,73,2567,9.0,6.7,2.4,7.2
Michael Porter Jr.,DEN,81,2565,0.1,1.2,-1.2,1.3
Shai Gilgeous-Alexander,OKC,75,2553,9.0,6.7,2.3,7.1
Grayson Allen,PHO,75,2513,1.3,1.1,0.1,2.0
LeBron James,LAL,71,2504,6.5,5.5,0.9,5.4
Paul George,LAC,74,2502,3.2,2.9,0.2,3.3
Dennis Schröder,2TM,80,2486,-1.8,-0.5,-1.3,0.1
Dennis Schröder,TOR,51,1559,-1.8,-0.5,-1.3,0.1
Dennis Schröder,BRK,29,927,-1.9,-0.5,-1.4,0.0
D'Angelo Russell,LAL,76,2484,0.9,1.7,-0.8,1.8
James Harden,LAC,72,2470,4.1,3.8,0.3,3.8
Devin Booker,PHO,68,2447,3.0,4.0,-1.0,3.1
Jarrett Allen,CLE,77,2442,3.0,2.1,0.9,3.1
Jabari Smith Jr.,HOU,76,2424,-0.4,-0.5,0.1,1.0
Stephen Curry,GSW,74,2421,5.2,6.3,-1.1,4.4
Bam Adebayo,MIA,71,2416,2.4,0.8,1.7,2.7
Chet Holmgren,OKC,82,2413,3.4,1.8,1.5,3.3
Brook Lopez,MIL,79,2411,1.0,0.2,0.8,1.8
Kentavious Caldwell-Pope,DEN,76,2402,-1.4,-2.1,0.7,0.4
Bogdan Bogdanović,ATL,79,2401,0.2,0.9,-0.7,1.4
Brandon Miller,CHO,74,2383,-2.6,-0.9,-1.6,-0.3
Harrison Barnes,SAC,82,2381,-1.8,-0.6,-1.2,0.1
Derrick White,BOS,73,2381,3.8,2.4,1.4,3.5
Tobias Harris,PHI,70,2368,0.9,1.0,-0.1,1.7
Donte DiVincenzo,NYK,81,2360,3.4,2.5,0.9,3.2
Jordan Poole,WAS,78,2346,-3.9,-2.0,-1.9,-1.2
Jaylen Brown,BOS,70,2343,0.7,0.9,-0.1,1.6
Malik Beasley,MIL,79,2337,-1.8,-1.0,-0.8,0.1
Franz Wagner,ORL,72,2337,1.2,0.9,0.3,1.9
Kawhi Leonard,LAC,68,2330,5.5,4.8,0.6,4.4
Herbert Jones,NOP,76,2321,0.6,-0.9,1.5,1.6
Aaron Gordon,DEN,73,2297,1.3,1.2,0.1,1.9
Klay Thompson,GSW,77,2284,-0.4,1.1,-1.5,0.9
Kyle Kuzma,WAS,70,2281,-1.1,0.5,-1.6,0.5
Jrue Holiday,BOS,69,2263,2.1,1.0,1.1,2.4
Deni Avdija,WAS,75,2257,-0.9,-0.7,-0.2,0.6
Devin Vassell,SAS,68,2248,0.0,0.9,-0.9,1.1
Luguentz Dort,OKC,79,2246,-1.6,-1.4,-0.2,0.2
Max Strus,CLE,70,2239,-0.6,-1.1,0.5,0.8
Dillon Brooks,HOU,72,2227,-3.6,-3.3,-0.3,-0.9
Tyrese Haliburton,IND,69,2224,6.9,7.3,-0.4,5.0
Jalen Williams,OKC,71,2223,2.3,2.0,0.3,2.4
P.J. Washington,2TM,73,2221,-2.1,-1.7,-0.4,-0.1
P.J. Washington,CHO,44,1286,-2.8,-1.7,-1.1,-0.3
P.J. Washington,DAL,29,935,-1.2,-1.8,0.7,0.2
Jaden Ivey,DET,77,2217,-3.1,-1.4,-1.7,-0.6
Ayo Dosunmu,CHI,76,2212,-0.8,-0.6,-0.2,0.7
Zion Williamson,NOP,70,2207,3.8,3.3,0.6,3.3
Mike Conley,MIN,76,2193,3.4,2.0,1.4,3.0
Jeremy Sochan,SAS,74,2193,-3.4,-2.8,-0.6,-0.8
Buddy Hield,2TM,84,2160,0.4,1.0,-0.6,1.3
